ota_hotel_id,name,date,rooms_num,free_rooms_amount,max_capacity,available_rooms_percent,min_price
irkutsk_city_center,Отель Иркутск Сити Центр,2026-09-20,206,13,26,6.31,10500.00
tajga_hotel,Отель Тайга,2026-09-20,44,13,34,29.55,5200.00
rus_hotel_irkutsk,Гостиничный Комплекс Русь,2026-09-20,56,39,68,69.64,3640.00
hotel_olkhonhill,Отель Olkhon-hill,2026-09-20,17,16,32,94.12,5500.00
klubnyij_kvartal_apartments,Клубный Квартал,2026-09-20,48,12,33,25.0,3500.00
azimut_aeroport_irkutsk_hotel,AZIMUT Отель Аэропорт Иркутск 4*,2026-09-20,100,42,90,42.0,7500.00
hotel_nikola_2,Отель Никола,2026-09-20,27,20,42,74.07,5236.00
baykal_shale_guest_house,Байкал Шале,2026-09-20,11,14,33,100.0,4452.00
larus,Отель Ларус,2026-09-20,14,4,8,28.57,3784.00
gostevoj_dom_otdyih_na_bajkale,Отель Отдых на Байкале,2026-09-20,11,11,24,100.0,2972.00
baykal_khan_listvyanka,Отель Байкал Хан п.Листвянка,2026-09-20,18,12,24,66.67,6960.00
podlemorie_hotel,Отель Подлеморье,2026-09-20,14,3,6,21.43,5500.00
hotel_premium_hotel_pushkin,Премиум-отель Пушкин,2026-09-20,46,27,54,58.7,18000.00
hotel_nuur_hotel,Отель Nuur Hotel,2026-09-20,28,1,2,3.57,16000.00
baikal_forest_hotel,Отель Форест,2026-09-20,156,4,8,2.56,13135.00
hotel_angara,Отель Ангара-Приоритет,2026-09-20,31,16,36,51.61,3800.00
gostevoy_dom_sunrise,Sunrise,2026-09-20,0,4,10,100.0,7421.00
grand_baikal,Отель Гранд Байкал,2026-09-20,64,9,18,14.06,3956.00
otel_irkut,Отель Иркут,2026-09-20,30,15,29,50.0,4050.00
the_sky_of_lake_baikal,Небо Байкала,2026-09-20,0,12,27,100.0,3463.00
olkhonstory_guest_house,История Ольхона,2026-09-20,6,8,16,100.0,7445.00
