ota_hotel_id,name,rooms_num,free_rooms_amount,max_capacity,available_rooms_percent,date,min_price
vera_baikal,Отель Вера Байкал,38,56,112,147.37,2026-03-25,7790.00
best_eastern_hotel_zvezda,Отель Звезда,65,38,76,58.46,2026-03-25,7603.00
dizajnerskaya_kvartira_v_tsentre_irkutska,Квартира в центре Иркутска,0,1,1,0.0,2026-03-25,4785.00
otel_tsentral,Отель Централь,48,37,74,77.08,2026-03-25,6500.00
tajga_hotel,Отель Тайга,44,5,14,11.36,2026-03-25,6400.00
sobolinka_parkhotel_2,Парк-отель Соболинка,38,2,4,5.26,2026-03-25,8110.00
klubnyij_kvartal_apartments,Клубный Квартал,67,3,3,4.48,2026-03-25,4000.00
irkutsk_city_center,Отель Иркутск Сити Центр,206,30,60,14.56,2026-03-25,8200.00
north_star_hotel_9,Отель North Star,12,20,50,166.67,2026-03-25,5100.00
empire_hotel_3,Гостиница Империя,49,10,17,20.41,2026-03-25,5100.00
dohodnyij_dom_listratvoj_butikhotel,Отель Доходный дом Листратовой,15,10,17,66.67,2026-03-25,3885.00
hotel_premium_hotel_pushkin,Премиум-отель Пушкин,46,36,72,78.26,2026-03-25,18000.00
hotel_nuur_hotel,Отель Nuur Hotel,28,7,13,25.0,2026-03-25,5500.00
guest_house_baykaliya,Байкалия,0,4,12,0.0,2026-03-25,7421.00
hotel_nikola_2,Отель Никола,27,33,66,122.22,2026-03-25,6558.00
archi_apt_apartments,Отель Baikal Archi Apt,7,4,9,57.14,2026-03-25,3443.00
international_hotel_sayen,SAYEN,25,16,36,64.0,2026-03-25,20000.00
gostevoy_dom_sunrise,Sunrise,0,5,12,0.0,2026-03-25,8410.00
bajkal_hotel,Отель Байкал,72,27,52,37.5,2026-03-25,9000.00
apartamentyi_v_irkutske,Меблированные комнаты в Иркутске,0,2,4,0.0,2026-03-25,1582.00
azimut_aeroport_irkutsk_hotel,AZIMUT Отель Аэропорт Иркутск 4*,100,36,76,36.0,2026-03-25,8195.00
otel_irkut,Отель Иркут,30,16,30,53.33,2026-03-25,3200.00
minihotel_panda,Отель ДиаДэй,9,4,10,44.44,2026-03-25,2880.00
baikal_business_center_hotel,Отель Байкал Бизнес Центр,59,4,8,6.78,2026-03-25,8100.00
inn_business_hall,Отель Business Hall,18,11,22,61.11,2026-03-25,4420.00
7_dorog,Гостиница 7 дорог,19,13,25,68.42,2026-03-25,6190.00
matreshka_hotel,Отель Матрешка,35,32,58,91.43,2026-03-25,4597.00
minihotel_albatros,Гостиница Альбатрос,12,4,10,33.33,2026-03-25,2700.00
hotel_aziyayevropa,Отель Азия-Европа,19,4,8,21.05,2026-03-25,7171.00
