ota_hotel_id,name,rooms_num,free_rooms_amount,max_capacity,available_rooms_percent,date,min_price
brusinka,Меблированные комнаты Брусника,3,1,1,33.33,2026-03-05,1500.00
vostochnaia,Гостиница Восточная,26,0,0,0.0,2026-03-05,
hotel_shvedka,Отель ШВЕДКА,29,3,3,10.34,2026-03-05,3600.00
bajkal_severnoe_more_hotel,Отель Байкал - Северное Море,119,44,77,36.97,2026-03-05,7360.00
zvezda_kochevnika,Звезда Кочевника,0,23,49,0.0,2026-03-05,15360.00
smart_hotel_kdo_irkutsk_hotel,Отель Smart Hotel KDO Иркутск,7,5,12,71.43,2026-03-05,1717.00
hotel_olimpiada,Олимпиада,29,17,19,58.62,2026-03-05,800.00
hotel_angara,Отель Ангара-Приоритет,31,9,17,29.03,2026-03-05,4500.00
private_house_uedinenny_dom_na_beregu_zhivopisnoy_zavodi,Байкал 51,0,1,1,0.0,2026-03-05,36500.00
flagman_hotel,Отель Флагман,10,0,0,0.0,2026-03-05,
sportkompleks_ozerny_tulun_hotel,Спорткомплекс Озерный Тулун,0,1,1,0.0,2026-03-05,4500.00
riderside,Гостиница Riverside,8,2,4,25.0,2026-03-05,3091.00
guest_house_vremena_goda,Времена Года,24,0,0,0.0,2026-03-05,
gostinitsa_akademicheskaya,Отель Гостиница Академическая,48,29,38,60.42,2026-03-05,2700.00
artrezidentsiya_port_olhon,Арт-отель Порт Ольхон,65,0,0,0.0,2026-03-05,
modul,Гостиница Комфорт,12,0,0,0.0,2026-03-05,
the_hotel_on_volzhskaya,Гостиница на Волжской,30,17,47,56.67,2026-03-05,2840.00
yupiter,Юпитер,23,3,6,13.04,2026-03-05,3000.00
vitim,Витим,0,3,5,0.0,2026-03-05,2890.00
oktyabrskaya_minihotel,Октябрьская,0,6,10,0.0,2026-03-05,1500.00
eko_baikalwood_hotel,Отель Байкальский лес (BaikalWood Hotel&SPA),44,0,0,0.0,2026-03-05,
hotel_yubileinaya__2,Гостиница Юбилейная,23,11,22,47.83,2026-03-05,2946.00
dream_of_baikal_hotel,Отель Dream of Baikal,19,0,0,0.0,2026-03-05,
glemping_hygge_barn,Hygge Barn,0,2,2,0.0,2026-03-05,15000.00
hotelclub_ice,Отель Сибирская резиденция Лёд Байкала,0,2,2,0.0,2026-03-05,25000.00
gostevoy_dom_mandarkhan_obaykal,"Мандархан, о.Байкал",0,1,1,0.0,2026-03-05,16815.00
katantsa_hotel,Отель Катанца,19,0,0,0.0,2026-03-05,
gostevoy_dom_melodiya_baykala,Гостевой дом Мелодия Байкала,0,1,2,0.0,2026-03-05,4500.00
hotel_anastasiya_2,Отель ГК Анастасия,26,21,39,80.77,2026-03-05,10000.00
magnetit,Отель Магнетит,55,32,46,58.18,2026-03-05,2700.00
praskovya_guest_house,Отель Прасковья,12,9,11,75.0,2026-03-05,1800.00
recreation_centre_baikal_rainbow,База отдыха Байкальская Радуга,31,3,5,9.68,2026-03-05,12934.00
