ota_hotel_id,name,date,rooms_num,free_rooms_amount,max_capacity,available_rooms_percent,min_price
victory_hotel_4,Гостиница Виктория,2026-03-29,30,20,40,66.67,3800.00
beliy_sobol_parkhotel,Парк-отель Белый Соболь,2026-03-29,32,4,6,12.5,13200.00
klubnyij_kvartal_apartments,Клубный Квартал,2026-03-29,67,5,5,7.46,4000.00
irkutsk_city_center,Отель Иркутск Сити Центр,2026-03-29,206,95,190,46.12,6200.00
hotel_nuur_hotel,Отель Nuur Hotel,2026-03-29,28,13,26,46.43,5500.00
sobolinka_parkhotel_2,Парк-отель Соболинка,2026-03-29,38,3,4,7.89,6379.00
hotel_premium_hotel_pushkin,Премиум-отель Пушкин,2026-03-29,46,38,76,82.61,18000.00
tajga_hotel,Отель Тайга,2026-03-29,44,11,24,25.0,5800.00
divobaykala_flat_1,Диво Байкала 1,2026-03-29,0,1,2,100.0,2425.00
yakovlev_hotel,Отель Яковлевъ,2026-03-29,25,19,40,76.0,2771.00
empire_hotel_3,Гостиница Империя,2026-03-29,49,10,17,20.41,5100.00
otel_irkut,Отель Иркут,2026-03-29,30,13,26,43.33,3900.00
miniotel_good_hotel,Мини-Отель Good Hotel,2026-03-29,6,4,9,66.67,2200.00
bajkal_hotel,Отель Байкал,2026-03-29,72,28,54,38.89,9000.00
international_hotel_sayen,SAYEN,2026-03-29,25,17,38,68.0,18000.00
dohodnyij_dom_listratvoj_butikhotel,Отель Доходный дом Листратовой,2026-03-29,15,10,14,66.67,3330.00
baykal_shale_guest_house,Байкал Шале,2026-03-29,11,7,17,63.64,3463.00
azimut_aeroport_irkutsk_hotel,AZIMUT Отель Аэропорт Иркутск 4*,2026-03-29,100,42,85,42.0,7400.00
minihotel_panda,Отель ДиаДэй,2026-03-29,9,4,9,44.44,2880.00
apartamentyi_v_irkutske,Меблированные комнаты в Иркутске,2026-03-29,0,3,6,100.0,1582.00
archi_apt_apartments,Отель Baikal Archi Apt,2026-03-29,7,6,13,85.71,3578.00
hotel_nikola_2,Отель Никола,2026-03-29,27,41,84,100.0,6558.00
guest_house_baykaliya,Байкалия,2026-03-29,0,5,15,100.0,7421.00
inn_business_hall,Отель Business Hall,2026-03-29,18,15,30,83.33,3530.00
7_dorog,Гостиница 7 дорог,2026-03-29,19,8,18,42.11,7370.00
baikal_business_center_hotel,Отель Байкал Бизнес Центр,2026-03-29,59,6,12,10.17,7500.00
arena_g_irkutsk,Отель Арена Иркутск,2026-03-29,15,16,30,100.0,3128.00
gostevoy_dom_sunrise,Sunrise,2026-03-29,0,5,12,100.0,8410.00
angara_hotel,Ангара Отель,2026-03-29,300,79,127,26.33,5250.00
city_park_hotel_13,Меблированные комнаты City Park,2026-03-29,0,5,5,100.0,2162.00
minihotel_albatros,Гостиница Альбатрос,2026-03-29,12,1,4,8.33,2700.00
baykal_khan_listvyanka,Отель Ларч,2026-03-29,18,12,30,66.67,6000.00
hotel_soyuz_2,Жилое помещение Союз,2026-03-29,84,55,110,65.48,5600.00
podlemorie_hotel,Отель Подлеморье,2026-03-29,14,12,26,85.71,4000.00
burduguz_hotel_2,Парк-Отель Бурдугуз,2026-03-29,69,11,22,15.94,19500.00
aristokrat_hotel,Отель Аристократ,2026-03-29,12,10,14,83.33,4500.00
baykal_guest_house_3,Меблированные комнаты Байкал,2026-03-29,0,9,15,100.0,2770.00
dom_baykal_guest_house,Меблированные комнаты Дом Байкал,2026-03-29,15,6,16,40.0,3181.00
hotel_nataly_2,Отель Натали,2026-03-29,12,6,10,50.0,3800.00
vera_baikal,Отель Вера Байкал,2026-03-29,38,51,102,100.0,7790.00
best_eastern_hotel_zvezda,Отель Звезда,2026-03-29,65,62,124,95.38,5242.00
mayak_hotel_listvyanka,Отель Маяк,2026-03-29,54,72,135,100.0,5940.00
grand_baikal,Отель Гранд Байкал,2026-03-29,64,9,17,14.06,7962.00
vozdushnaya_gavan,Отель Воздушная Гавань,2026-03-29,140,1,2,0.71,8820.00
gostevoj_dom_na_zvezdinskoj,Отель на Звездинской,2026-03-29,25,32,68,100.0,3362.00
otel_tsentral,Отель Централь,2026-03-29,48,24,48,50.0,7500.00
baikal_forest_hotel,Отель Baikal Forest,2026-03-29,156,144,293,92.31,4923.00
amurskiy,Отель Амурский,2026-03-29,17,16,36,94.12,14000.00
miniotel_medveditsa,Меблированные комнаты Медведица,2026-03-29,0,9,17,100.0,4660.00
gostinitsa_undina,Отель Ундина,2026-03-29,30,13,24,43.33,8905.00
less_guest_house,Меблированные комнаты Лесс,2026-03-29,0,6,12,100.0,9950.00
atlas_hotel_3,Гостиница Атлас,2026-03-29,29,4,8,13.79,4526.10
ibis_irkutsk_center,Отель Ибис Иркутск Центр,2026-03-29,128,26,51,20.31,5250.00
evropa_hotel,Отель Европа,2026-03-29,58,18,34,31.03,4845.00
lotos_hotel,Отель Лотос,2026-03-29,23,15,32,65.22,1150.00
legend_of_baikal,Отель Легенда Байкала,2026-03-29,35,7,12,20.0,6000.00
marx_hotel,Отель Marx Hotel,2026-03-29,26,0,0,0.0,
baikal_view_hotel,Baikal View Hotel,2026-03-29,99,59,120,59.6,9200.00
mini_hotel_vizit,Гостиница Визит,2026-03-29,8,7,15,87.5,4000.00
alaniya,Алания,2026-03-29,0,11,30,100.0,4000.00
nebo_baykala_guest_house,Небо Байкала,2026-03-29,0,6,13,100.0,3000.00
rus_hotel_irkutsk,Гостиничный Комплекс Русь,2026-03-29,56,11,13,19.64,4100.00
kupechesky_dvor_hotel,Отель Купеческий Дворъ,2026-03-29,14,14,28,100.0,6700.00
baikalskie_prostory,Байкальские просторы,2026-03-29,8,6,14,75.0,3500.00
malinovka_3,Малиновка,2026-03-29,0,0,0,0.0,
matreshka_hotel,Отель Матрешка,2026-03-29,35,15,24,42.86,4599.00
armat_hotel,Отель Armat,2026-03-29,40,61,123,100.0,7800.00
hotel_aziyayevropa,Отель Азия-Европа,2026-03-29,19,9,18,47.37,5232.00
mihail_strogov,Отель Михаил Строгов,2026-03-29,20,9,14,45.0,4995.00
ozerny_tulun_sports_complex_na_karbysheva_185_apartment,Спорткомплекс Озерный Тулун на Карбышева 185,2026-03-29,0,2,4,100.0,3600.00
hotel_rodina_grand_hotel_spa_irkutsk_5,Отель RODINA Grand Hotel & SPA Irkutsk 5*,2026-03-29,79,33,66,41.77,46000.00
eko_baikalwood_hotel,Отель Байкальский лес (BaikalWood Hotel&SPA),2026-03-29,44,0,0,0.0,
vesta_hotel_3,Отель Веста,2026-03-29,27,17,36,62.96,3000.00
gostevoy_dom_briz_3,Меблированные комнаты БРИЗ,2026-03-29,16,8,18,50.0,4500.00
yolochka,Меблированные комнаты Ёлочка,2026-03-29,6,9,18,100.0,3700.00
kalina_house_olkhon_baikal_guest_house,Конкордия,2026-03-29,8,6,8,75.0,8500.00
flagman_hotel_4,Отель Флагман,2026-03-29,13,6,10,46.15,6000.00
miniotel_serdtse_baykala,Сердце Байкала,2026-03-29,0,5,8,100.0,12500.00
hotel_sozvezdie_baikala,Отель Созвездие Байкала,2026-03-29,22,11,22,50.0,4700.00
riderside,Гостиница Riverside,2026-03-29,8,1,2,12.5,3200.00
