merged_id,match_type,address_score,name_score,city,name,address,lat,lon,rooms_number,ostrovok_ota_hotel_id,ostrovok_master_id,ostrovok_name,ostrovok_address,ostrovok_url,ostrovok_rooms_number,tvil_hotel_id,tvil_name,tvil_address,tvil_url,tvil_rooms_number
15,address,100,100,Иркутск,Отель Купеческий Дворъ,"улица Седова, д.10, Иркутск",52.27513,104.28797,14,kupechesky_dvor_hotel,8059354,Отель Купеческий Дворъ,"улица Седова, д.10, Иркутск",https://ostrovok.ru/hotel/russia/irkutsk/mid8059354/kupechesky_dvor_hotel,14,767249,"Отель ""Купеческий Дворъ""","Иркутск, улица Седова, 10",https://tvil.ru/city/irkutsk/hotels/767249/,14
16,address,100,58,Хужир,Baikal View Hotel,"улица Российская, д. 17, Хужир",53.1781,107.30675,99,baikal_view_hotel,7681558,Baikal View Hotel,"улица Российская, д. 17, Хужир",https://ostrovok.ru/hotel/russia/irkutsk/mid7681558/baikal_view_hotel,99,1802586,"Гостиница ""BAIKAL VIEW""","Хужир, Российская, 17",https://tvil.ru/city/huzhir/hotels/1802586/,99
17,address,100,100,Хужир,Отель Байкал-Хан Ольхон,"улица Ворошилова, д. 18, Хужир",53.19855,107.351166,40,baykal_khan_hotel_olkhon,6848973,Отель Байкал-Хан Ольхон,"улица Ворошилова, д. 18, Хужир",https://ostrovok.ru/hotel/russia/irkutsk/mid6848973/baykal_khan_hotel_olkhon,40,1372499,"Отель ""Байкал Хан Ольхон""","Хужир, улица Ворошилова, 18",https://tvil.ru/city/huzhir/hotels/1372499/,37
18,address,100,50,Иркутск,Отель Armat,"улица Ширямова, д.33, Иркутск",52.256546,104.34678,40,armat_hotel,8755884,Отель Armat,"улица Ширямова, д.33, Иркутск",https://ostrovok.ru/hotel/russia/irkutsk/mid8755884/armat_hotel,40,1441288,Отель Армат 4*,"Иркутск, улица Ширямова, 33",https://tvil.ru/city/irkutsk/hotels/1441288/,40
19,address,100,62,Иркутск,Гостиница Атлас,"проезд Атласова, д.9, Иркутск",52.264576,104.32704,29,atlas_hotel_3,7883850,Гостиница Атлас,"проезд Атласова, д.9, Иркутск",https://ostrovok.ru/hotel/russia/irkutsk/mid7883850/atlas_hotel_3,29,1367592,"Отель ""Атлас""","Иркутск, проезд Атласова, 9",https://tvil.ru/city/irkutsk/hotels/1367592/,28
20,address,100,64,Иркутск,Отель на Звездинской,"Улица Звездинская, д. 5/1, Иркутск",52.273518,104.256294,25,gostevoj_dom_na_zvezdinskoj,6827039,Отель на Звездинской,"Улица Звездинская, д. 5/1, Иркутск",https://ostrovok.ru/hotel/russia/irkutsk/mid6827039/gostevoj_dom_na_zvezdinskoj,25,1328740,"Гостиница ""На Звездинской""","Иркутск, Звездинская улица, 5",https://tvil.ru/city/irkutsk/hotels/1328740/,30
21,address,100,75,Иркутск,Гостиница Лазурный берег,"Байкальская улица, д. 252Б, Иркутск",52.2534,104.33767,65,lazurny_bereg_hotel_,7797591,Гостиница Лазурный берег,"Байкальская улица, д. 252Б, Иркутск",https://ostrovok.ru/hotel/russia/irkutsk/mid7797591/lazurny_bereg_hotel_,65,424345,"Гостиничный комплекс ""Лазурный берег""","Иркутск, Байкальская улица, 252Б",https://tvil.ru/city/irkutsk/hotels/424345/,66
22,address,100,8,Хужир,Отель Байкальский лес (BaikalWood Hotel&SPA),"улица Светлая, д.5, Хужир",53.193813,107.3616,44,eko_baikalwood_hotel,8737003,Отель Байкальский лес (BaikalWood Hotel&SPA),"улица Светлая, д.5, Хужир",https://ostrovok.ru/hotel/russia/irkutsk/mid8737003/eko_baikalwood_hotel,44,1345611,Гостиница,"Хужир, Светлая улица, 5",https://tvil.ru/city/huzhir/hotels/1345611/,29
23,address,100,100,Иркутск,Гостиница Юбилейная,"микрорайон Юбилейный, д. 118, Иркутск",52.222046,104.2961,23,hotel_yubileinaya__2,6433819,Гостиница Юбилейная,"микрорайон Юбилейный, д. 118, Иркутск",https://ostrovok.ru/hotel/russia/irkutsk/mid6433819/hotel_yubileinaya__2,23,1490581,"Гостиница ""Юбилейная""","Иркутск, микрорайон Юбилейный, 118",https://tvil.ru/city/irkutsk/hotels/1490581/,23
24,address,100,71,Иркутск,Отель Байкал - Северное Море,"Улица Дальневосточная, д.156, Иркутск",52.25208,104.32113,119,bajkal_severnoe_more_hotel,8526970,Отель Байкал - Северное Море,"Улица Дальневосточная, д.156, Иркутск",https://ostrovok.ru/hotel/russia/irkutsk/mid8526970/bajkal_severnoe_more_hotel,119,1378154,"Гостиница ""Байкал - Северное море""","Иркутск, Дальневосточная, 156",https://tvil.ru/city/irkutsk/hotels/1378154/,120
25,address,100,100,Листвянка,Отель Даурия,"улица Куликова, д.44, Листвянка",51.859695,104.86325,4,dauria_hotel_2,7685971,Отель Даурия,"улица Куликова, д.44, Листвянка",https://ostrovok.ru/hotel/russia/irkutsk/mid7685971/dauria_hotel_2,4,1032271,"Отель ""Даурия""","Листвянка, улица Куликова, 44",https://tvil.ru/city/listvyanka/hotels/1032271/,15
26,address,100,79,Ангарск,Отель Ангара-Приоритет,"Квартал Б, д.13, Ангарск",52.50619,103.83226,31,hotel_angara,6715745,Отель Ангара-Приоритет,"Квартал Б, д.13, Ангарск",https://ostrovok.ru/hotel/russia/irkutsk/mid6715745/hotel_angara,31,1314294,"Гостиница ""Ангара-Приоритет""","Ангарск, квартал Б, 13",https://tvil.ru/city/angarsk/hotels/1314294/,31
27,address,100,65,Хужир,Семейный отель Дача БайкалЭко,"улица Лесная, д. 32, Хужир",53.191616,107.34986,10,hotel_dacha_baikaleco,10010618,Семейный отель Дача БайкалЭко,"улица Лесная, д. 32, Хужир",https://ostrovok.ru/hotel/russia/irkutsk/mid10010618/hotel_dacha_baikaleco,10,1450305,Дача БайкалЭко,"Хужир, Лесная улица, 32",https://tvil.ru/city/huzhir/hotels/1450305/,10
28,address,100,30,Нижнеудинск,Октябрьская,"улица Октябрьская, д.1 Б, Нижнеудинск",54.907585,99.04532,5,oktyabrskaya_minihotel,8751925,Октябрьская,"улица Октябрьская, д.1 Б, Нижнеудинск",https://ostrovok.ru/hotel/russia/irkutsk/mid8751925/oktyabrskaya_minihotel,,1467982,Гостиница,"Нижнеудинск, Октябрьская улица, 1-Б",https://tvil.ru/city/nizhneudinsk/hotels/1467982/,5
29,address,100,100,Иркутск,Отель Тайга,"улица Сурикова, д.4в, Иркутск",52.288013,104.26984,44,tajga_hotel,9767827,Отель Тайга,"улица Сурикова, д.4в, Иркутск",https://ostrovok.ru/hotel/russia/irkutsk/mid9767827/tajga_hotel,44,1296594,"Отель ""Тайга""","Иркутск, улица Сурикова, 4В",https://tvil.ru/city/irkutsk/hotels/1296594/,44
30,address,100,83,Братск,Клубный Квартал,"бульвар Победы, д.30, Братск",56.150185,101.64935,67,klubnyij_kvartal_apartments,9081992,Клубный Квартал,"бульвар Победы, д.30, Братск",https://ostrovok.ru/hotel/russia/irkutsk/mid9081992/klubnyij_kvartal_apartments,67,1265779,"Отель ""Клубный Квартал""","Братск, бульвар Победы, 30",https://tvil.ru/city/bratsk/hotels/1265779/,48
31,address,100,54,Иркутск,Отель North Star,"улица Седова, 4, Иркутск",52.275555,104.28755,12,north_star_hotel_9,10670964,Отель North Star,"улица Седова, 4, Иркутск",https://ostrovok.ru/hotel/russia/irkutsk/mid10670964/north_star_hotel_9,12,1775519,"Гостиница ""Nord Star Hotel""","Иркутск, улица Седова, 4",https://tvil.ru/city/irkutsk/hotels/1775519/,12
32,address,100,100,Иркутск,Отель Байкал Бизнес Центр,"улица Байкальская, д.279, Иркутск",52.257786,104.35341,59,baikal_business_center_hotel,7827545,Отель Байкал Бизнес Центр,"улица Байкальская, д.279, Иркутск",https://ostrovok.ru/hotel/russia/irkutsk/mid7827545/baikal_business_center_hotel,59,1265180,"Отель ""Байкал Бизнес Центр""","Иркутск, Байкальская улица, 279",https://tvil.ru/city/irkutsk/hotels/1265180/,59
33,address,100,67,Иркутск,Гостиница Альпари,"микрорайон Приморский, д.24 А, Иркутск",52.23193,104.30829,10,alpari,7776573,Гостиница Альпари,"микрорайон Приморский, д.24 А, Иркутск",https://ostrovok.ru/hotel/russia/irkutsk/mid7776573/alpari,10,1490199,Отель «Альпари»,"Иркутск, микрорайон Приморский, 24-А",https://tvil.ru/city/irkutsk/hotels/1490199/,10
