ota_hotel_id,master_id,name,name_en,city,address,latitude,longitude,url,rooms_number,first_seen_date,last_seen_date
hotel_nikola_2,8748287,Отель Никола,Nikola Hotel,Никола,"Байкальский тракт 64-й км, поселок Никола, улица Ангарская, д. 15, Никола",51.892323,104.82522,https://ostrovok.ru/hotel/russia/irkutsk/mid8748287/hotel_nikola_2,27,2026-03-17,2026-09-10
international_hotel_sayen,7384846,SAYEN,SAYEN Hotel,Иркутск,"ул. Карла Маркса, 13Б, Иркутск",52.282074,104.283806,https://ostrovok.ru/hotel/russia/irkutsk/mid7384846/international_hotel_sayen,25,2026-03-17,2026-09-10
matreshka_hotel,6332937,Отель Матрешка,Matreshka Hotel,Иркутск,"Улица Софьи Перовской, д.31/1, Иркутск",52.282005,104.30065,https://ostrovok.ru/hotel/russia/irkutsk/mid6332937/matreshka_hotel,35,2026-03-17,2026-09-10
kheyvitsa_guest_house,11169967,Отель Гостевой Дом Хейвица,Gostevoj dom Kheyvitsa Hotel,Иркутск,"улица Дзержинского, д. 44, Иркутск",52.285812,104.297844,https://ostrovok.ru/hotel/russia/irkutsk/mid11169967/kheyvitsa_guest_house,8,2026-03-17,2026-09-10
apartamentyi_v_irkutske,9993445,Меблированные комнаты в Иркутске,Living Quarters v Irkutske,Иркутск,"переулок Алексеева, д.2А, Иркутск",52.263927,104.30125,https://ostrovok.ru/hotel/russia/irkutsk/mid9993445/apartamentyi_v_irkutske,,2026-03-17,2026-09-10
minihotel_panda,6479321,Отель ДиаДэй,DiaDey Hotel,Иркутск,"улица Профсоюзная, д. 10/2, Иркутск",52.284023,104.256004,https://ostrovok.ru/hotel/russia/irkutsk/mid6479321/minihotel_panda,9,2026-03-17,2026-09-10
gostinitsa_ustilim,7026078,Усть-Илим,Ust-Ilim,Усть-Илимск,"пр-кт. Дружбы Народов, д. 2, Усть-Илимск",57.95592,102.74821,https://ostrovok.ru/hotel/russia/irkutsk/mid7026078/gostinitsa_ustilim,80,2026-03-17,2026-09-10
arena_g_irkutsk,8491921,Отель Арена Иркутск,Arena Irkutsk Hotel,Иркутск,"ул. Желябова, 8А, Иркутск",52.288128,104.28727,https://ostrovok.ru/hotel/russia/irkutsk/mid8491921/arena_g_irkutsk,15,2026-03-17,2026-09-10
podlemorie_hotel,7679750,Отель Подлеморье,Podlemore Hotel,Листвянка,"улица Горького, д.31Б, Листвянка",51.854576,104.862686,https://ostrovok.ru/hotel/russia/irkutsk/mid7679750/podlemorie_hotel,14,2026-03-17,2026-09-10
hotel_kurshavel_,6456691,Отель Куршавель,Kurshavel Hotel,Байкальск,"микрорайон Южный, 1-й квартал, д.6, Байкальск",51.505707,104.14502,https://ostrovok.ru/hotel/russia/irkutsk/mid6456691/hotel_kurshavel_,15,2026-03-17,2026-09-10
amurskiy,9079548,Отель Амурский,Amurskij Hotel,Иркутск,"улица Ленина, д.34, Иркутск",52.280666,104.28177,https://ostrovok.ru/hotel/russia/irkutsk/mid9079548/amurskiy,17,2026-03-17,2026-09-10
gostinitsa_undina,9079103,Отель Ундина,Undina Hotel,Листвянка,"Ulitsa Kulikova,6, Листвянка",51.856808,104.858025,https://ostrovok.ru/hotel/russia/irkutsk/mid9079103/gostinitsa_undina,30,2026-03-17,2026-09-10
burduguz_hotel_2,7829252,Парк-Отель Бурдугуз,Burduguz Hotel,Бурдугуз,"улица Лесная, д.1, Бурдугуз",52.05705,104.60222,https://ostrovok.ru/hotel/russia/irkutsk/mid7829252/burduguz_hotel_2,69,2026-03-17,2026-09-10
hotel_aziyayevropa,13393268,Отель Азия-Европа,Hotel Aziya-Yevropa,Иркутск,"улица Ядринцева, 1/7, Иркутск",52.279037,104.336205,https://ostrovok.ru/hotel/russia/irkutsk/mid13393268/hotel_aziyayevropa,19,2026-03-17,2026-09-10
aristokrat_hotel,8745188,Отель Аристократ,Aristokrat Hotel,Иркутск,"улица Ленина, д.9, Иркутск",52.281384,104.281876,https://ostrovok.ru/hotel/russia/irkutsk/mid8745188/aristokrat_hotel,12,2026-03-17,2026-09-10
mihail_strogov,8469949,Отель Михаил Строгов,Mihail Strogov Hotel,Иркутск,"улица Депутатская, д. 36, Иркутск",52.27365,104.3207,https://ostrovok.ru/hotel/russia/irkutsk/mid8469949/mihail_strogov,20,2026-03-17,2026-09-10
