ota_hotel_id,name,rooms_num,free_rooms_amount,max_capacity,available_rooms_percent,date,min_price
artrezidentsiya_port_olhon,Арт-отель Порт Ольхон,65,0,0,0.0,2026-03-07,
yupiter,Юпитер,23,3,6,13.04,2026-03-07,3000.00
vitim,Витим,0,2,4,0.0,2026-03-07,2890.00
oktyabrskaya_minihotel,Октябрьская,0,7,12,0.0,2026-03-07,1500.00
eko_baikalwood_hotel,Отель Байкальский лес (BaikalWood Hotel&SPA),44,0,0,0.0,2026-03-07,
modul,Гостиница Комфорт,12,0,0,0.0,2026-03-07,
dream_of_baikal_hotel,Отель Dream of Baikal,19,0,0,0.0,2026-03-07,
hotelclub_ice,Отель Сибирская резиденция Лёд Байкала,0,1,1,0.0,2026-03-07,25000.00
gostevoy_dom_melodiya_baykala,Гостевой дом Мелодия Байкала,0,1,2,0.0,2026-03-07,4500.00
katantsa_hotel,Отель Катанца,19,0,0,0.0,2026-03-07,
hotel_anastasiya_2,Отель ГК Анастасия,26,16,30,61.54,2026-03-07,11000.00
magnetit,Отель Магнетит,55,33,47,60.0,2026-03-07,2700.00
praskovya_guest_house,Отель Прасковья,12,8,10,66.67,2026-03-07,1800.00
recreation_centre_baikal_rainbow,База отдыха Байкальская Радуга,31,4,7,12.9,2026-03-07,12934.00
bajkalskie_sezonyi,Отель Парк Байкальские сезоны,22,13,23,59.09,2026-03-07,16855.00
gostevoi_dom_margobai,Отель Маргобай,14,25,41,178.57,2026-03-07,1909.00
gloria_20,Отель Глория,14,0,0,0.0,2026-03-07,
trakstop_38_2,Trakstop 38,11,1,1,9.09,2026-03-07,9717.00
luna_hotel_9,Отель Луна,22,3,5,13.64,2026-03-07,3000.00
planeta_9,Планета,33,10,20,30.3,2026-03-07,3000.00
baikal_capsule_hostel,Байкал Капсул (Байкальская капсула),0,8,8,0.0,2026-03-07,1132.00
tochka_baykala_hotel,Отель Точка Байкала,38,0,0,0.0,2026-03-07,
metelitsa_6,Отель Метелица,5,4,8,80.0,2026-03-07,2392.00
home_hotel_apartments_home_wanted_on_piskunov_street,Апартаменты Home Hotel (Хоум Хотел) на улице Пискунова,0,2,2,0.0,2026-03-07,3488.00
gostevoy_dom_isiger_baikal,Гостевой дом ISIGER BAIKAL,0,0,0,0.0,2026-03-07,
komilfo_2,Отель Комильфо,12,6,6,50.0,2026-03-07,3500.00
izumrud_hotel_7,Отель Изумруд,9,8,8,88.89,2026-03-07,3500.00
loft_house_38_guest_house,Loft House 38,0,0,0,0.0,2026-03-07,
pekin_hotel,Отель Пекин,86,75,75,87.21,2026-03-07,4950.00
aura_living_quarters,Меблированные комнаты Аура,0,0,0,0.0,2026-03-07,
