ota_hotel_id,name,rooms_num,free_rooms_amount,max_capacity,available_rooms_percent,date,min_price
gostinitsa_ustilim,Усть-Илим,80,6,8,7.5,2026-03-04,1801.00
vera_baikal,Отель Вера Байкал,38,3,6,7.89,2026-03-04,10735.00
victory_hotel_4,Гостиница Виктория,30,2,4,6.67,2026-03-04,5200.00
irkutsk_city_center,Отель Иркутск Сити Центр,206,24,48,11.65,2026-03-04,12000.00
hotel_khotej,Отель Хотэй,25,9,18,36.0,2026-03-04,10925.00
sobolinka_parkhotel_2,Парк-отель Соболинка,38,2,3,5.26,2026-03-04,6675.00
beliy_sobol_parkhotel,Парк-отель Белый Соболь,32,11,25,34.38,2026-03-04,11200.00
azimut_aeroport_irkutsk_hotel,AZIMUT Отель Аэропорт Иркутск 4*,100,8,20,8.0,2026-03-04,9350.00
mayak_hotel_listvyanka,Отель Маяк,54,44,80,81.48,2026-03-04,7000.00
otel_tsentral,Отель Централь,48,16,32,33.33,2026-03-04,8000.00
miniotel_good_hotel,Мини-Отель Good Hotel,6,3,6,50.0,2026-03-04,2200.00
angara_hotel,Ангара Отель,300,29,55,9.67,2026-03-04,5250.00
7_dorog,Гостиница 7 дорог,19,1,3,5.26,2026-03-04,11930.00
hotel_nuur_hotel,Отель Nuur Hotel,28,13,26,46.43,2026-03-04,7800.00
empire_hotel_3,Гостиница Империя,49,1,1,2.04,2026-03-04,6000.00
podlemorie_hotel,Отель Подлеморье,14,5,12,35.71,2026-03-04,7500.00
hotel_nikola_2,Отель Никола,27,12,26,44.44,2026-03-04,8704.00
gostevoy_dom_sunrise,Sunrise,0,4,9,0.0,2026-03-04,11874.00
lada_8,Отель Гостиница ЛАДА,22,13,23,59.09,2026-03-04,8400.00
nebo_baykala_guest_house,Небо Байкала,0,4,9,0.0,2026-03-04,3463.00
legend_of_baikal,Отель Легенда Байкала,35,12,23,34.29,2026-03-04,8750.00
international_hotel_sayen,SAYEN,25,15,32,60.0,2026-03-04,20400.00
arena_g_irkutsk,Отель Арена Иркутск,15,14,27,93.33,2026-03-04,2431.00
kalina_house_olkhon_baikal_guest_house,Конкордия,8,1,2,12.5,2026-03-04,9396.00
minihotel_panda,Отель ДиаДэй,9,4,9,44.44,2026-03-04,2880.00
apartamentyi_v_irkutske,Меблированные комнаты в Иркутске,0,2,4,0.0,2026-03-04,1554.00
hotel_premium_hotel_pushkin,Премиум-отель Пушкин,46,27,54,58.7,2026-03-04,18000.00
