ota_hotel_id,name,rooms_num,free_rooms_amount,max_capacity,available_rooms_percent,date,min_price
baikal_business_center_hotel,Отель Байкал Бизнес Центр,59,3,6,5.08,2026-02-23,8700.00
hotel_gostinitsa_dinamo,Отель Динамо,39,23,43,58.97,2026-02-23,1140.00
tri_kita_2,Отель Три Кита,10,8,18,80.0,2026-02-23,2600.00
tikhaya_gavan_4,"Отель ""Тихая Гавань""",12,2,4,16.67,2026-02-23,4100.00
wind_lake_guest_house,Wind Lake,0,17,25,0.0,2026-02-23,12390.00
hotel_shvedka,Отель ШВЕДКА,29,3,3,10.34,2026-02-23,3600.00
mihail_strogov,Отель Михаил Строгов,20,1,1,5.0,2026-02-23,7500.00
bajkal_severnoe_more_hotel,Отель Байкал - Северное Море,119,57,96,47.9,2026-02-23,7360.00
miniotel_serdtse_baykala,Сердце Байкала,0,2,2,0.0,2026-02-23,20500.00
bajkalskie_sezonyi,Отель Парк Байкальские сезоны,22,20,39,90.91,2026-02-23,14429.00
vesta_hotel_3,Отель Веста,27,17,35,62.96,2026-02-23,3000.00
royal_hotel_33,Отель Рояль,27,0,0,0.0,2026-02-23,
mini_hotel_vizit,Гостиница Визит,8,7,15,87.5,2026-02-23,4000.00
bely_bereg,Отель Белый берег,5,3,8,60.0,2026-02-23,6300.00
uda_2,Отель УДА,45,36,58,80.0,2026-02-23,1700.00
pribaikalskaya_hotel,Гостиница Прибайкальская,87,8,14,9.2,2026-02-23,3388.00
hotel_sozvezdie_baikala,Отель Созвездие Байкала,22,12,24,54.55,2026-02-23,5900.00
gostevoy_dom_briz_3,Меблированные комнаты БРИЗ,16,6,14,37.5,2026-02-23,4500.00
oktyabrskaya_minihotel,Октябрьская,0,6,10,0.0,2026-02-23,1500.00
recreation_complex_altan,Парк-Отель Алтан,21,0,0,0.0,2026-02-23,
hotel_aziyayevropa,Отель Азия-Европа,19,4,8,21.05,2026-02-23,5232.00
ozerny_tulun_sports_complex_na_karbysheva_185_apartment,Спорткомплекс Озерный Тулун на Карбышева 185,0,1,2,0.0,2026-02-23,3600.00
vostochnaia,Гостиница Восточная,26,0,0,0.0,2026-02-23,
na_ulitse_pavlova_28_apartments,на улице Павлова 28,0,1,1,0.0,2026-02-23,3540.00
shelest,Shelest,0,6,12,0.0,2026-02-23,4960.00
marx_hotel,Отель Marx Hotel,26,6,12,23.08,2026-02-23,5700.00
smart_hotel_kdo_irkutsk_hotel,Отель Smart Hotel KDO Иркутск,7,3,8,42.86,2026-02-23,1717.00
dream_of_baikal_hotel,Отель Dream of Baikal,19,0,0,0.0,2026-02-23,
zvezda_kochevnika,Звезда Кочевника,0,5,11,0.0,2026-02-23,15360.00
hotel_anastasiya_2,Отель ГК Анастасия,26,23,43,88.46,2026-02-23,10000.00
luna_hotel_9,Отель Луна,22,3,5,13.64,2026-02-23,3000.00
sportkompleks_ozerny_tulun_hotel,Спорткомплекс Озерный Тулун,0,1,1,0.0,2026-02-23,4500.00
guest_house_vremena_goda,Времена Года,24,0,0,0.0,2026-02-23,
artrezidentsiya_port_olhon,Арт-отель Порт Ольхон,65,0,0,0.0,2026-02-23,
hotel_olimpiada,Олимпиада,29,19,24,65.52,2026-02-23,800.00
modul,Гостиница Комфорт,12,0,0,0.0,2026-02-23,
v_russkom_stile_guest_house,Меблированные комнаты в Русском Стиле,0,0,0,0.0,2026-02-23,
the_hotel_on_volzhskaya,Гостиница на Волжской,30,16,44,53.33,2026-02-23,2840.00
gostinitsa_akademicheskaya,Отель Гостиница Академическая,48,25,33,52.08,2026-02-23,4200.00
vitim,Витим,0,2,4,0.0,2026-02-23,2890.00
eko_baikalwood_hotel,Отель BaikalWood Hotel & Spa,44,0,0,0.0,2026-02-23,
glemping_hygge_barn,Hygge Barn,0,2,2,0.0,2026-02-23,11500.00
katantsa_hotel,Отель Катанца,19,0,0,0.0,2026-02-23,
magnetit,Отель Магнетит,55,6,7,10.91,2026-02-23,4300.00
less_guest_house,Меблированные комнаты Less,0,6,12,0.0,2026-02-23,9950.00
praskovya_guest_house,Отель Прасковья,12,5,6,41.67,2026-02-23,1800.00
riderside,Гостиница Riverside,8,2,4,25.0,2026-02-23,2504.00
gostinitsa_solntse,Гостиница Солнце,58,8,11,13.79,2026-02-23,10100.00
flagman_hotel,Отель Флагман,10,0,0,0.0,2026-02-23,
gostevoi_dom_margobai,Отель Маргобай,14,30,51,214.29,2026-02-23,1905.00
hotel_baikal_best_edelweiss,Baikal Best Edelweiss,10,2,4,20.0,2026-02-23,8124.00
saturn_8,Сатурн,23,2,4,8.7,2026-02-23,3500.00
yupiter,Юпитер,23,3,6,13.04,2026-02-23,3000.00
trakstop_38_2,Trakstop 38,11,1,1,9.09,2026-02-23,9717.00
mir_baykala_hotel,Отель Мир Байкала,29,2,4,6.9,2026-02-23,15945.00
baikal_capsule_hostel,Байкал Капсул (Байкальская капсула),0,7,7,0.0,2026-02-23,1125.00
gostevoj_dom_endemik,Меблированные комнаты посуточная аренда,0,4,7,0.0,2026-02-23,7675.00
metelitsa_6,Отель Метелица,5,0,0,0.0,2026-02-23,
home_hotel_apartments_home_wanted_on_piskunov_street,Апартаменты Home Hotel (Хоум Хотел) на улице Пискунова,0,1,1,0.0,2026-02-23,3488.00
gostevoy_dom_isiger_baikal,Гостевой дом ISIGER BAIKAL,0,0,0,0.0,2026-02-23,
na_gornoy_ulitse_5_private_house,Меблированные комнаты на Горной Улице 7Б,0,0,0,0.0,2026-02-23,
hotelclub_ice,Отель Сибирская резиденция Лёд Байкала,0,1,1,0.0,2026-02-23,25000.00
izumrud_hotel_7,Отель Изумруд,9,4,4,44.44,2026-02-23,5000.00
loft_house_38_guest_house,Loft House 38,0,0,0,0.0,2026-02-23,
komilfo_2,Отель Комильфо,12,7,7,58.33,2026-02-23,3500.00
