ota_hotel_id,name,rooms_num,free_rooms_amount,max_capacity,available_rooms_percent,date,min_price
gostinitsa_undina,Отель Ундина,30,0,0,0.0,2026-02-26,
tri_kita_2,Отель Три Кита,10,8,18,80.0,2026-02-26,2600.00
hotel_gostinitsa_dinamo,Отель Динамо,39,23,43,58.97,2026-02-26,1140.00
wind_lake_guest_house,Wind Lake,0,14,22,0.0,2026-02-26,15540.00
miniotel_serdtse_baykala,Сердце Байкала,0,2,2,0.0,2026-02-26,20500.00
miniotel_medveditsa,Меблированные комнаты Медведица,0,5,9,0.0,2026-02-26,4710.00
bajkal_severnoe_more_hotel,Отель Байкал - Северное Море,119,21,33,17.65,2026-02-26,9085.00
hotel_angara,Отель Ангара-Приоритет,31,10,21,32.26,2026-02-26,3800.00
hotel_shvedka,Отель ШВЕДКА,29,3,3,10.34,2026-02-26,3600.00
gostevoy_dom_forest_home,Forest Home,0,0,0,0.0,2026-02-26,
royal_hotel_33,Отель Рояль,27,0,0,0.0,2026-02-26,
mini_hotel_vizit,Гостиница Визит,8,7,15,87.5,2026-02-26,4000.00
krestovaya_pad_hotel,Гостиница Крестовая падь,27,0,0,0.0,2026-02-26,
lakeplace_baikal_guest_house,Мебелированные комнаты Lake Place Baikal,0,0,0,0.0,2026-02-26,
gostevoj_dom_otdyih_na_bajkale,Отель Отдых на Байкале,11,0,0,0.0,2026-02-26,
uda_2,Отель УДА,45,41,61,91.11,2026-02-26,1700.00
bajkalskie_sezonyi,Отель Парк Байкальские сезоны,22,22,42,100.0,2026-02-26,15892.00
gostevoy_dom_briz_3,Меблированные комнаты БРИЗ,16,6,14,37.5,2026-02-26,4500.00
recreation_complex_altan,Парк-Отель Алтан,21,0,0,0.0,2026-02-26,
brusinka,Меблированные комнаты Брусника,3,1,3,33.33,2026-02-26,1950.00
smart_hotel_kdo_irkutsk_hotel,Отель Smart Hotel KDO Иркутск,7,6,14,85.71,2026-02-26,1717.00
vostochnaia,Гостиница Восточная,26,0,0,0.0,2026-02-26,
dream_of_baikal_hotel,Отель Dream of Baikal,19,0,0,0.0,2026-02-26,
hotel_sozvezdie_baikala,Отель Созвездие Байкала,22,11,22,50.0,2026-02-26,4700.00
oktyabrskaya_minihotel,Октябрьская,0,6,10,0.0,2026-02-26,1500.00
zvezda_kochevnika,Звезда Кочевника,0,5,13,0.0,2026-02-26,15360.00
u_istoka_hotel,Гостиница У Истока,24,0,0,0.0,2026-02-26,
hotel_anastasiya_2,Отель ГК Анастасия,26,21,40,80.77,2026-02-26,10000.00
luna_hotel_9,Отель Луна,22,3,5,13.64,2026-02-26,3000.00
sportkompleks_ozerny_tulun_hotel,Спорткомплекс Озерный Тулун,0,1,1,0.0,2026-02-26,4500.00
guest_house_vremena_goda,Времена Года,24,0,0,0.0,2026-02-26,
hotel_olimpiada,Олимпиада,29,18,23,62.07,2026-02-26,800.00
artrezidentsiya_port_olhon,Арт-отель Порт Ольхон,65,0,0,0.0,2026-02-26,
modul,Гостиница Комфорт,12,0,0,0.0,2026-02-26,
v_russkom_stile_guest_house,Меблированные комнаты в Русском Стиле,0,0,0,0.0,2026-02-26,
gostinitsa_akademicheskaya,Отель Гостиница Академическая,48,27,36,56.25,2026-02-26,2700.00
vitim,Витим,0,5,8,0.0,2026-02-26,2900.00
glemping_hygge_barn,Hygge Barn,0,1,1,0.0,2026-02-26,13500.00
hotelclub_ice,Отель Сибирская резиденция Лёд Байкала,0,2,2,0.0,2026-02-26,25000.00
gostevoy_dom_mandarkhan_obaykal,"Мандархан, о.Байкал",0,1,1,0.0,2026-02-26,16815.00
katantsa_hotel,Отель Катанца,19,0,0,0.0,2026-02-26,
magnetit,Отель Магнетит,55,9,10,16.36,2026-02-26,3100.00
less_guest_house,Меблированные комнаты Less,0,6,12,0.0,2026-02-26,9950.00
praskovya_guest_house,Отель Прасковья,12,5,6,41.67,2026-02-26,1800.00
riderside,Гостиница Riverside,8,0,0,0.0,2026-02-26,
flagman_hotel,Отель Флагман,10,0,0,0.0,2026-02-26,
gostevoi_dom_margobai,Отель Маргобай,14,29,49,207.14,2026-02-26,1894.00
hotel_baikal_best_edelweiss,Baikal Best Edelweiss,10,2,4,20.0,2026-02-26,8124.00
gloria_20,Отель Глория,14,0,0,0.0,2026-02-26,
yupiter,Юпитер,23,3,6,13.04,2026-02-26,3000.00
trakstop_38_2,Trakstop 38,11,0,0,0.0,2026-02-26,
mir_baykala_hotel,Отель Мир Байкала,29,2,4,6.9,2026-02-26,15945.00
planeta_9,Планета,33,10,20,30.3,2026-02-26,3000.00
baikal_capsule_hostel,Байкал Капсул (Байкальская капсула),0,8,8,0.0,2026-02-26,1229.00
tochka_baykala_hotel,Отель Точка Байкала,38,0,0,0.0,2026-02-26,
metelitsa_6,Отель Метелица,5,4,8,80.0,2026-02-26,2392.00
home_hotel_apartments_home_wanted_on_piskunov_street,Апартаменты Home Hotel (Хоум Хотел) на улице Пискунова,0,2,2,0.0,2026-02-26,3550.00
gostevoy_dom_isiger_baikal,Гостевой дом ISIGER BAIKAL,0,0,0,0.0,2026-02-26,
na_gornoy_ulitse_5_private_house,Меблированные комнаты на Горной Улице 7Б,0,0,0,0.0,2026-02-26,
barnkhaus_guest_house_4,Барнхаус,0,0,0,0.0,2026-02-26,
loft_house_38_guest_house,Loft House 38,0,0,0,0.0,2026-02-26,
ozerny_tulun_sports_complex_na_karbysheva_185_apartment,Спорткомплекс Озерный Тулун на Карбышева 185,0,2,4,0.0,2026-02-26,3600.00
pekin_hotel,Отель Пекин,86,75,75,87.21,2026-02-26,4950.00
