ota_hotel_id,name,rooms_num,free_rooms_amount,max_capacity,available_rooms_percent,date,min_price
vera_baikal,Отель Вера Байкал,38,50,100,131.58,2026-03-15,8835.00
klubnyij_kvartal_apartments,Клубный Квартал,67,5,5,7.46,2026-03-15,3400.00
victory_hotel_4,Гостиница Виктория,30,1,2,3.33,2026-03-15,6200.00
sobolinka_parkhotel_2,Парк-отель Соболинка,38,1,1,2.63,2026-03-15,6973.00
tajga_hotel,Отель Тайга,44,8,14,18.18,2026-03-15,5400.00
evropa_hotel,Отель Европа,58,3,5,5.17,2026-03-15,6300.00
empire_hotel_3,Гостиница Империя,49,8,15,16.33,2026-03-15,6000.00
miniotel_good_hotel,Мини-Отель Good Hotel,6,4,8,66.67,2026-03-15,2200.00
dohodnyij_dom_listratvoj_butikhotel,Отель Доходный дом Листратовой,15,5,11,33.33,2026-03-15,3885.00
angara_hotel,Ангара Отель,300,29,55,9.67,2026-03-15,5250.00
taiga_2,Отель Taiga,101,3,5,2.97,2026-03-15,5409.00
otel_irkut,Отель Иркут,30,19,37,63.33,2026-03-15,3900.00
rus_hotel_irkutsk,Гостиничный Комплекс Русь,56,6,12,10.71,2026-03-15,5165.00
baikal_forest_hotel,Отель Baikal Forest,156,73,163,46.79,2026-03-15,6126.00
archi_apt_apartments,Отель Baikal Archi Apt,7,2,4,28.57,2026-03-15,3272.00
azimut_aeroport_irkutsk_hotel,AZIMUT Отель Аэропорт Иркутск 4*,100,68,137,68.0,2026-03-15,8550.00
hotel_premium_hotel_pushkin,Премиум-отель Пушкин,46,33,66,71.74,2026-03-15,18000.00
bajkal_hotel,Отель Байкал,72,22,42,30.56,2026-03-15,9000.00
podlemorie_hotel,Отель Подлеморье,14,13,27,92.86,2026-03-15,5000.00
olkhonstory_guest_house,Ольхон стори,6,4,6,66.67,2026-03-15,8045.00
hotel_nuur_hotel,Отель Nuur Hotel,28,11,21,39.29,2026-03-15,7800.00
apartamentyi_v_irkutske,Меблированные комнаты в Иркутске,0,2,4,0.0,2026-03-15,1527.00
international_hotel_sayen,SAYEN,25,3,6,12.0,2026-03-15,20000.00
7_dorog,Гостиница 7 дорог,19,13,26,68.42,2026-03-15,6190.00
hotel_nikola_2,Отель Никола,27,31,64,114.81,2026-03-15,6558.00
guest_house_baykaliya,Байкалия,0,5,15,0.0,2026-03-15,7421.00
kheyvitsa_guest_house,Отель Гостевой Дом Хейвица,8,6,12,75.0,2026-03-15,5300.00
baikal_business_center_hotel,Отель Байкал Бизнес Центр,59,2,4,3.39,2026-03-15,8100.00
gostevoy_dom_sunrise,Sunrise,0,2,5,0.0,2026-03-15,8410.00
minihotel_panda,Отель ДиаДэй,9,4,10,44.44,2026-03-15,2880.00
minihotel_albatros,Гостиница Альбатрос,12,3,10,25.0,2026-03-15,2700.00
kalina_house_olkhon_baikal_guest_house,Конкордия,8,8,12,100.0,2026-03-15,9408.00
arena_g_irkutsk,Отель Арена Иркутск,15,16,32,106.67,2026-03-15,2443.00
burduguz_hotel_2,Парк-Отель Бурдугуз,69,13,26,18.84,2026-03-15,19500.00
north_star_hotel_9,Отель North Star,12,6,14,50.0,2026-03-15,5150.00
recreation_camp_bereg_nadezhdy,База отдыха Берег Надежды,7,7,13,100.0,2026-03-15,4452.00
hotel_kurshavel_,Отель Куршавель,15,7,13,46.67,2026-03-15,3881.00
bolshoe_puteshestvie_hotel,Ольхон,0,19,53,0.0,2026-03-15,7277.00
mihail_strogov,Отель Михаил Строгов,20,3,6,15.0,2026-03-15,5823.00
gostinitsa_ustilim,Усть-Илим,80,27,29,33.75,2026-03-15,1801.00
city_park_hotel_13,Меблированные комнаты City Park,0,4,4,0.0,2026-03-15,2162.00
mayak_hotel_listvyanka,Отель Маяк,54,70,132,129.63,2026-03-15,7000.00
gostinitsa_undina,Отель Ундина,30,13,24,43.33,2026-03-15,8905.00
hotel_khotej,Отель Хотэй,25,10,20,40.0,2026-03-15,10925.00
hotel_aziyayevropa,Отель Азия-Европа,19,5,10,26.32,2026-03-15,5011.00
hotel_soyuz_2,Жилое помещение Союз,84,57,114,67.86,2026-03-15,5600.00
baykal_khan_listvyanka,Отель Ларч,18,10,23,55.56,2026-03-15,8340.00
baykal_guest_house_3,Меблированные комнаты Байкал,0,10,16,0.0,2026-03-15,2770.00
lotos_hotel,Отель Лотос,23,18,37,78.26,2026-03-15,1150.00
nochleg_i_zavtrak_bb_shambala,Загородный отель Шамбала,10,9,18,90.0,2026-03-15,11874.00
vesta_hotel_3,Отель Веста,27,20,42,74.07,2026-03-15,3000.00
malinovka_3,Малиновка,0,3,8,0.0,2026-03-15,2386.00
hotel_barguzin,Меблированные комнаты Баргузин,0,4,4,0.0,2026-03-15,7916.00
alpari,Гостиница Альпари,10,9,18,90.0,2026-03-15,2291.00
kupechesky_dvor_hotel,Отель Купеческий Дворъ,14,8,16,57.14,2026-03-15,7636.00
less_guest_house,Меблированные комнаты Лесс,0,2,3,0.0,2026-03-15,9845.00
lada_8,Отель Гостиница ЛАДА,22,21,39,95.45,2026-03-15,4800.00
otel_tsentral,Отель Централь,48,19,38,39.58,2026-03-15,8000.00
baikalskie_prostory,Байкальские просторы,8,5,12,62.5,2026-03-15,3463.00
yakovlev_hotel,Отель Яковлевъ,25,4,10,16.0,2026-03-15,3520.00
mini_hotel_vizit,Гостиница Визит,8,6,13,75.0,2026-03-15,3958.00
grand_baikal,Отель Гранд Байкал,64,11,22,17.19,2026-03-15,9495.00
legend_of_baikal,Отель Легенда Байкала,35,21,37,60.0,2026-03-15,6250.00
best_eastern_hotel_zvezda,Отель Звезда,65,2,4,3.08,2026-03-15,22832.00
parus_18,Курортный отель Парус,17,10,23,58.82,2026-03-15,5868.00
hotel_kosmos_5,Отель Космос,16,6,11,37.5,2026-03-15,3636.00
hotel_rodina_grand_hotel_spa_irkutsk_5,Отель RODINA Grand Hotel & SPA Irkutsk 5*,79,32,64,40.51,2026-03-15,46000.00
atlas_hotel_3,Гостиница Атлас,29,1,2,3.45,2026-03-15,6831.00
wind_lake_guest_house,Wind Lake,0,20,30,0.0,2026-03-15,11216.00
amurskiy,Отель Амурский,17,16,36,94.12,2026-03-15,17900.00
miniotel_medveditsa,Меблированные комнаты Медведица,0,9,17,0.0,2026-03-15,4660.00
dom_baykal_guest_house,Меблированные комнаты Дом Байкал,15,10,34,66.67,2026-03-15,2995.00
baykal_khan_hotel_olkhon,Отель Байкал-Хан Ольхон,40,33,67,82.5,2026-03-15,16320.00
armat_hotel,Отель Armat,40,48,96,120.0,2026-03-15,7400.00
