ota_hotel_id,name,rooms_num,free_rooms_amount,max_capacity,available_rooms_percent,date,min_price
grand_baikal,Отель Гранд Байкал,64,12,23,18.75,2026-03-01,10386.00
sobolinka_parkhotel_2,Парк-отель Соболинка,38,2,2,5.26,2026-03-01,9050.00
victory_hotel_4,Гостиница Виктория,30,2,4,6.67,2026-03-01,6200.00
yakovlev_hotel,Отель Яковлевъ,25,2,5,8.0,2026-03-01,4614.00
gostinitsa_ustilim,Усть-Илим,80,8,10,10.0,2026-03-01,1801.00
evropa_hotel,Отель Европа,58,8,13,13.79,2026-03-01,5900.00
taiga_2,Отель Taiga,101,56,89,55.45,2026-03-01,5558.00
irkutsk_city_center,Отель Иркутск Сити Центр,206,33,66,16.02,2026-03-01,10000.00
bajkal_hotel,Отель Байкал,72,7,13,9.72,2026-03-01,15000.00
malinovka_3,Малиновка,0,1,3,0.0,2026-03-01,6924.00
tajga_hotel,Отель Тайга,44,2,4,4.55,2026-03-01,5525.00
hotel_nuur_hotel,Отель Nuur Hotel,28,2,4,7.14,2026-03-01,16000.00
rus_hotel_irkutsk,Гостиничный Комплекс Русь,56,3,6,5.36,2026-03-01,4089.00
empire_hotel_3,Гостиница Империя,49,8,13,16.33,2026-03-01,5300.00
beliy_sobol_parkhotel,Парк-отель Белый Соболь,32,12,30,37.5,2026-03-01,11200.00
archi_apt_apartments,Отель Baikal Archi Apt,7,1,3,14.29,2026-03-01,7650.00
legend_of_baikal,Отель Легенда Байкала,35,19,34,54.29,2026-03-01,8750.00
podlemorie_hotel,Отель Подлеморье,14,6,13,42.86,2026-03-01,6800.00
vera_baikal,Отель Вера Байкал,38,24,48,63.16,2026-03-01,8835.00
hotel_khotej,Отель Хотэй,25,2,4,8.0,2026-03-01,10925.00
lada_8,Отель Гостиница ЛАДА,22,1,3,4.55,2026-03-01,8400.00
gostevoy_dom_sunrise,Sunrise,0,1,3,0.0,2026-03-01,14348.00
arena_g_irkutsk,Отель Арена Иркутск,15,13,27,86.67,2026-03-01,2443.00
hotel_premium_hotel_pushkin,Премиум-отель Пушкин,46,28,56,60.87,2026-03-01,18000.00
minihotel_panda,Отель ДиаДэй,9,5,12,55.56,2026-03-01,2880.00
matreshka_hotel,Отель Матрешка,35,5,10,14.29,2026-03-01,5725.00
north_star_hotel_9,Отель North Star,12,24,60,200.0,2026-03-01,5100.00
kupechesky_dvor_hotel,Отель Купеческий Дворъ,14,3,6,21.43,2026-03-01,12756.00
7_dorog,Гостиница 7 дорог,19,1,3,5.26,2026-03-01,11930.00
hotel_kurshavel_,Отель Куршавель,15,4,9,26.67,2026-03-01,3899.00
mihail_strogov,Отель Михаил Строгов,20,8,16,40.0,2026-03-01,6100.00
baykal_khan_listvyanka,Отель Ларч,18,3,8,16.67,2026-03-01,11100.00
apartamentyi_v_irkutske,Меблированные комнаты в Иркутске,0,1,2,0.0,2026-03-01,2373.00
hotel_barguzin,Меблированные комнаты Баргузин,0,2,2,0.0,2026-03-01,7916.00
parus_18,Курортный отель Парус,17,5,13,29.41,2026-03-01,6135.00
gostevoj_dom_na_zvezdinskoj,Отель на Звездинской,25,18,41,72.0,2026-03-01,3800.00
baykal_guest_house_3,Меблированные комнаты Байкал,0,5,9,0.0,2026-03-01,2770.00
hotel_aziyayevropa,Отель Азия-Европа,19,4,8,21.05,2026-03-01,5193.00
miniotel_medveditsa,Меблированные комнаты Медведица,0,8,16,0.0,2026-03-01,4660.00
v_samom_tsentre_irkutska_minihotel,Отель В Сердце Иркутска,6,5,12,83.33,2026-03-01,5400.00
international_hotel_sayen,SAYEN,25,16,34,64.0,2026-03-01,20000.00
baikalskie_prostory,Байкальские просторы,8,4,9,50.0,2026-03-01,3463.00
hotel_nataly_2,Отель Натали,12,6,10,50.0,2026-03-01,3800.00
dauria_hotel_2,Отель Даурия,4,13,25,325.0,2026-03-01,5500.00
aristokrat_hotel,Отель Аристократ,12,2,4,16.67,2026-03-01,4557.00
yolochka,Меблированные комнаты Ёлочка,6,7,13,116.67,2026-03-01,3700.00
hotel_soyuz_2,Жилое помещение Союз,84,61,122,72.62,2026-03-01,5600.00
solnechny_guest_house_7,Cолнечный,0,2,4,0.0,2026-03-01,1182.00
gostevoy_dom_holiday_park_on_olkhon,Holiday park on Olkhon,0,1,2,0.0,2026-03-01,5447.00
lotos_hotel,Отель Лотос,23,3,7,13.04,2026-03-01,2850.00
otel_tsentral,Отель Централь,48,8,16,16.67,2026-03-01,10000.00
best_eastern_hotel_zvezda,Отель Звезда,65,33,66,50.77,2026-03-01,8500.00
history_boutiquehotel,Отель History Boutique Hotel & SPA,40,9,18,22.5,2026-03-01,25725.00
alaniya,Алания,0,12,33,0.0,2026-03-01,4000.00
lenatour,Отель  Ленатур,8,8,20,100.0,2026-03-01,3100.00
baikal_forest_hotel,Отель Baikal Forest,156,23,53,14.74,2026-03-01,9400.00
atlas_hotel_3,Гостиница Атлас,29,1,2,3.45,2026-03-01,5796.00
green_hotel_,Грин Отель,22,11,18,50.0,2026-03-01,3543.75
hotel_kosmos_5,Отель Космос,16,6,11,37.5,2026-03-01,3675.00
hotel_rodina_grand_hotel_spa_irkutsk_5,Отель RODINA Grand Hotel & SPA Irkutsk 5*,79,68,136,86.08,2026-03-01,45000.00
irkutsk_city_lodge,Отель Иркутск Сити Лодж,4,0,0,0.0,2026-03-01,
hotel_nikola_2,Отель Никола,27,6,14,22.22,2026-03-01,13900.00
amurskiy,Отель Амурский,17,5,10,29.41,2026-03-01,17900.00
wind_lake_guest_house,Wind Lake,0,14,20,0.0,2026-03-01,12390.00
burduguz_hotel_2,Парк-Отель Бурдугуз,69,0,0,0.0,2026-03-01,
armat_hotel,Отель Armat,40,20,40,50.0,2026-03-01,6700.00
alpari,Гостиница Альпари,10,2,4,20.0,2026-03-01,2400.00
baikal_view_hotel,Baikal View Hotel,99,8,16,8.08,2026-03-01,16950.00
klubnyij_kvartal_apartments,Клубный Квартал,67,1,1,1.49,2026-03-01,4000.00
