merged_id,match_type,city,name,address,ostrovok_rooms_number,tvil_rooms_number,ostrovok_free_rooms,tvil_free_rooms,min_free_rooms,avg_free_rooms,max_free_rooms,ostrovok_free_rooms_pct,tvil_free_rooms_pct,avg_free_rooms_pct,ostrovok_occupancy_pct,tvil_occupancy_pct,avg_occupancy_pct,ostrovok_capacity,tvil_capacity,avg_capacity,ostrovok_min_price,tvil_min_price,min_price
1,matched,Иркутск,Гостиничный Комплекс Русь,"улица Свердлова, д.19, Иркутск",,56,,2,2,2.00,2,,3,3.57,,96.43,96.43,,6,6,,6100,6100
2,matched,Иркутск,Отель Доходный дом Листратовой,"Подгорная улица, д.16, Иркутск",15,15,6,6,6,6.00,6,40,40,40.00,60.0,60.0,60.00,10,11,10,4440,4440,4440
3,matched,Иркутск,Отель Яковлевъ,"улица Тимирязева, д.9, Иркутск",25,25,1,1,1,1.00,1,4,4,4.00,96.0,96.0,96.00,3,2,2,6584,7000,6584
4,matched,Иркутск,Отель Nuur Hotel,"улица Карла Либкнехта, д. 85, Иркутск",28,28,1,1,1,1.00,1,3,3,3.57,96.43,96.43,96.43,2,4,3,11000,11500,11000
5,matched,Иркутск,Отель Иркут,"улица Пролетарская, д.7, Иркутск",30,30,7,4,4,5.50,7,23,13,18.33,76.67,86.67,81.67,14,8,11,4200,4200,4200
6,matched,Иркутск,Ангара Отель,"улица Сухэ-Батора, д.7, Иркутск",300,300,48,13,13,30.50,48,16,4,10.16,84.0,95.67,89.84,92,22,57,5250,5500,5250
7,matched,Иркутск,Гостиница 7 дорог,"улица Ядринцева, д. 88, Иркутск",19,19,1,2,1,1.50,2,5,10,7.89,94.74,89.47,92.10,3,9,6,9000,10800,9000
8,matched,Иркутск,Отель Матрешка,"Улица Софьи Перовской, д.31/1, Иркутск",35,35,8,5,5,6.50,8,22,14,18.57,77.14,85.71000000000001,81.43,12,8,10,4489,4982,4489
9,matched,Иркутск,Отель Амурский,"улица Ленина, д.34, Иркутск",17,17,11,0,0,5.50,11,64,0,32.35,35.290000000000006,100.0,67.65,22,0,11,17900,,17900
10,matched,Иркутск,Отель Азия-Европа,"улица Ядринцева, 1/7, Иркутск",19,19,5,6,5,5.50,6,26,31,28.95,73.68,68.42,71.05,10,12,11,3960,4000,3960
11,matched,Иркутск,Отель Аристократ,"улица Ленина, д.9, Иркутск",12,12,11,4,4,7.50,11,91,33,62.50,8.329999999999998,66.67,37.50,17,8,12,5100,5100,5100
12,matched,Иркутск,Отель Михаил Строгов,"улица Депутатская, д. 36, Иркутск",20,21,,,,,,,,,,,,,,,,,
13,matched,Листвянка,Отель Маяк,"улица Горького, дом 85а, Листвянка",54,75,12,3,3,7.50,12,22,4,13.11,77.78,96.0,86.89,23,5,14,7000,9240,7000
14,matched,Иркутск,Отель Форест,"улица Советская, д.58/1, Иркутск",156,76,6,1,1,3.50,6,3,1,2.58,96.15,98.68,97.42,12,2,7,8008,8096,8008
15,matched,Иркутск,Отель Купеческий Дворъ,"улица Седова, д.10, Иркутск",14,14,2,0,0,1.00,2,14,0,7.14,85.71000000000001,100.0,92.86,4,0,2,11372,,11372
16,matched,Хужир,Baikal View Hotel,"улица Российская, д. 17, Хужир",99,99,68,,68,68.00,68,68,,68.69,31.310000000000002,,31.31,140,,140,12254,,12254
