merged_id,match_type,city,name,address,ostrovok_rooms_number,tvil_rooms_number,ostrovok_free_rooms,tvil_free_rooms,min_free_rooms,avg_free_rooms,max_free_rooms,ostrovok_free_rooms_pct,tvil_free_rooms_pct,avg_free_rooms_pct,ostrovok_occupancy_pct,tvil_occupancy_pct,avg_occupancy_pct,ostrovok_capacity,tvil_capacity,avg_capacity,ostrovok_min_price,tvil_min_price,min_price
1,matched,Иркутск,Гостиничный Комплекс Русь,"улица Свердлова, д.19, Иркутск",,56,,5,5,5.00,5,,8,8.93,,91.07,91.07,,13,13,,4500,4500
2,matched,Иркутск,Отель Доходный дом Листратовой,"Подгорная улица, д.16, Иркутск",15,15,11,9,9,10.00,11,73,60,66.66,26.67,40.0,33.34,19,18,18,3108,3108,3108
3,matched,Иркутск,Отель Яковлевъ,"улица Тимирязева, д.9, Иркутск",25,25,15,6,6,10.50,15,60,24,42.00,40.0,76.0,58.00,33,14,24,2823,3000,2823
4,matched,Иркутск,Отель Nuur Hotel,"улица Карла Либкнехта, д. 85, Иркутск",28,28,13,7,7,10.00,13,46,25,35.72,53.57,75.0,64.28,25,19,22,6300,7300,6300
5,matched,Иркутск,Отель Иркут,"улица Пролетарская, д.7, Иркутск",30,30,14,8,8,11.00,14,46,26,36.67,53.33,73.33,63.33,27,15,21,3200,3200,3200
6,matched,Иркутск,Ангара Отель,"улица Сухэ-Батора, д.7, Иркутск",300,300,15,4,4,9.50,15,5,1,3.17,95.0,98.67,96.84,30,8,19,4750,5000,4750
7,matched,Иркутск,Гостиница 7 дорог,"улица Ядринцева, д. 88, Иркутск",19,19,9,8,8,8.50,9,47,42,44.74,52.63,57.89,55.26,20,27,24,6000,7200,6000
8,matched,Иркутск,Отель Матрешка,"Улица Софьи Перовской, д.31/1, Иркутск",35,35,43,9,9,26.00,43,100,25,62.86,0.0,74.28999999999999,37.14,75,19,47,3488,4032,3488
9,matched,Иркутск,Отель Амурский,"улица Ленина, д.34, Иркутск",17,17,7,7,7,7.00,7,41,41,41.18,58.82,58.82,58.82,14,14,14,14000,14000,14000
10,matched,Иркутск,Отель Азия-Европа,"улица Ядринцева, 1/7, Иркутск",19,19,6,8,6,7.00,8,31,42,36.84,68.42,57.89,63.16,12,16,14,4097,4000,4000
11,matched,Иркутск,Отель Аристократ,"улица Ленина, д.9, Иркутск",12,12,10,0,0,5.00,10,83,0,41.66,16.67,100.0,58.34,16,0,8,4500,,4500
12,matched,Иркутск,Отель Михаил Строгов,"улица Депутатская, д. 36, Иркутск",20,21,4,7,4,5.50,7,20,33,26.66,80.0,66.67,73.34,8,12,10,3852,4500,3852
13,matched,Листвянка,Отель Маяк,"улица Горького, дом 85а, Листвянка",54,75,67,9,9,38.00,67,100,12,56.00,0.0,88.0,44.00,128,17,72,4050,5310,4050
14,matched,Иркутск,Отель Baikal Forest,"улица Советская, д.58/1, Иркутск",156,76,,3,3,3.00,3,,3,3.95,,96.05,96.05,,8,8,,9500,9500
15,matched,Иркутск,Отель Купеческий Дворъ,"улица Седова, д.10, Иркутск",14,14,12,11,11,11.50,12,85,78,82.14,14.290000000000006,21.430000000000007,17.86,24,32,28,6892,6970,6892
16,matched,Хужир,Baikal View Hotel,"улица Российская, д. 17, Хужир",99,99,98,4,4,51.00,98,98,4,51.52,1.0100000000000051,95.96,48.48,200,10,105,9493,9594,9493
17,matched,Хужир,Отель Байкал-Хан Ольхон,"улица Ворошилова, д. 18, Хужир",40,37,32,7,7,19.50,32,80,18,49.46,20.0,81.08,50.54,64,14,39,12512,12650,12512
18,matched,Иркутск,Отель Армат,"улица Ширямова, д.33, Иркутск",40,40,60,8,8,34.00,60,100,20,60.00,0.0,80.0,40.00,120,17,68,5200,6200,5200
19,matched,Иркутск,Гостиница Атлас,"проезд Атласова, д.9, Иркутск",29,28,7,6,6,6.50,7,24,21,22.79,75.86,78.57,77.22,15,16,16,4526,4700,4526
20,matched,Иркутск,Отель на Звездинской,"Улица Звездинская, д. 5/1, Иркутск",25,30,35,6,6,20.50,35,100,20,60.00,0.0,80.0,40.00,75,12,44,3362,5000,3362
21,matched,Иркутск,Гостиница Лазурный берег,"Байкальская улица, д. 252Б, Иркутск",65,66,2,2,2,2.00,2,3,3,3.05,96.92,96.97,96.94,4,4,4,4800,5500,4800
22,matched,Хужир,Отель БайкалВуд,"улица Светлая, д.5, Хужир",44,29,58,0,0,29.00,58,100,0,50.00,0.0,100.0,50.00,116,0,58,9200,,9200
23,matched,Иркутск,Гостиница Юбилейная,"микрорайон Юбилейный, д. 118, Иркутск",23,23,0,6,0,3.00,6,0,26,13.04,100.0,73.91,86.95,0,12,6,2815,3000,2815
24,matched,Иркутск,Отель Байкал - Северное Море,"Улица Дальневосточная, д.156, Иркутск",119,120,91,13,13,52.00,91,76,10,43.65,23.53,89.17,56.35,152,31,92,4006,4500,4006
25,matched,Листвянка,Отель Даурия,"улица Куликова, д.44, Листвянка",4,15,21,3,3,12.00,21,100,20,60.00,0.0,80.0,40.00,41,8,24,4500,4500,4500
26,matched,Ангарск,Отель Ангара-Приоритет,"Квартал Б, д.13, Ангарск",31,31,2,2,2,2.00,2,6,6,6.45,93.55,93.55,93.55,3,4,4,6000,6000,6000
27,matched,Хужир,Семейный отель Дача БайкалЭко,"улица Лесная, д. 32, Хужир",10,10,,,,,,,,,,,,,,,,,
28,matched,Нижнеудинск,Октябрьская,"улица Октябрьская, д.1 Б, Нижнеудинск",,5,,,,,,,,,,,,,,,,,
29,matched,Иркутск,Отель Тайга,"улица Сурикова, д.4в, Иркутск",44,44,1,1,1,1.00,1,2,2,2.27,97.73,97.73,97.73,2,2,2,9100,9100,9100
30,matched,Братск,Клубный Квартал,"бульвар Победы, д.30, Братск",67,48,,,,,,,,,,,,,,,,,
31,matched,Иркутск,Отель North Star,"улица Седова, 4, Иркутск",12,12,,,,,,,,,,,,,,,,,
32,matched,Иркутск,Отель Байкал Бизнес Центр,"улица Байкальская, д.279, Иркутск",59,59,5,3,3,4.00,5,8,5,6.78,91.53,94.92,93.22,10,9,10,6900,8200,6900
33,matched,Иркутск,Гостиница Альпари,"микрорайон Приморский, д.24 А, Иркутск",10,10,5,3,3,4.00,5,50,30,40.00,50.0,70.0,60.00,10,8,9,2400,2400,2400
34,matched,Черемхово,Shelest,"улица Марата, д. 109, Черемхово",,8,2,2,2,2.00,2,100,25,62.50,0.0,75.0,37.50,4,4,4,4908,5000,4908
35,matched,Иркутск,Гостиничный Комплекс Русь,"улица Свердлова,19, Иркутск",56,56,21,5,5,13.00,21,37,8,23.21,62.5,91.07,76.78,43,13,28,3560,4500,3560
36,matched,Иркутск,Отель Автовокзал,"улица Октябрьской Революции, 11, Иркутск",22,22,11,6,6,8.50,11,50,27,38.63,50.0,72.73,61.37,11,10,10,2600,2600,2600
37,matched,Байкальск,Отель Космос,"Гагарина микрорайон, 2а, Байкальск",16,16,10,8,8,9.00,10,62,50,56.25,37.5,50.0,43.75,23,28,26,2675,2675,2675
38,matched,Байкальск,Парк-отель Соболинка,"квартал Красный Ключ, д.90, Байкальск",38,33,,,,,,,,,,,,,,,,,
39,matched,Бурдугуз,Парк-Отель Бурдугуз,"улица Лесная, д.1, Бурдугуз",69,69,15,5,5,10.00,15,21,7,14.49,78.26,92.75,85.50,30,15,22,16575,19500,16575
40,matched,Листвянка,Отель Подлеморье,"улица Горького, д.31Б, Листвянка",14,14,8,7,7,7.50,8,57,50,53.57,42.86,50.0,46.43,17,15,16,4500,4500,4500
41,matched,Иркутск,Отель Лотос,"Байкальская улица, д.14 Б, Иркутск",23,21,16,9,9,12.50,16,69,42,56.21,30.430000000000007,57.14,43.79,34,19,26,2300,2300,2300
42,matched,Иркутск,Отель Звезда,"улица Ядринцева, д. 1Ж, Иркутск",65,64,2,2,2,2.00,2,3,3,3.10,96.92,96.88,96.90,4,5,4,12952,13100,12952
43,matched,Братск,Отель Белый берег,"ул. Курчатова 65, Братск, Братск",5,5,3,3,3,3.00,3,60,60,60.00,40.0,40.0,40.00,7,10,8,8550,9500,8550
44,matched,Байкальск,Отель Гранд Байкал,"мкр. Красный Ключ, 91, Байкальск",64,64,7,3,3,5.00,7,10,4,7.81,89.06,95.31,92.19,14,9,12,4253,5400,4253
45,matched,Иркутск,Гостиница У Истока,"Ржанова ул., д. 43, Иркутск",24,24,,,,,,,,,,,,,,,,,
46,matched,Сарма,Парк-Отель Алтан,"тер. база отдыха Алтан, стр. 1, Сарма",21,21,0,,0,0.00,0,0,,0.00,100.0,,100.00,0,,0,,,
47,unmatched_ostrovok,Иркутск,Гостиница Виктория,"улица Богдана Хмельницкого, д.1 Иркутск, Россия, Иркутск",30,,,,,,,,,,,,,,,,,,
48,unmatched_ostrovok,Листвянка,Отель Вера Байкал,"улица Горького, 8, Листвянка",38,,50,,50,50.00,50,100,,100.00,0.0,,0.00,100,,100,6000,,6000
