merged_id,city,name,address,ostrovok_rooms_number,tvil_rooms_number,ostrovok_free_rooms,tvil_free_rooms,min_free_rooms,avg_free_rooms,max_free_rooms,ostrovok_free_rooms_pct,tvil_free_rooms_pct,avg_free_rooms_pct,ostrovok_occupancy_pct,tvil_occupancy_pct,avg_occupancy_pct,ostrovok_capacity,tvil_capacity,avg_capacity
1,Иркутск,Гостиничный Комплекс Русь,"улица Свердлова, д.19, Иркутск",56,56,25,7,7,16.00,25,44,12,28.57,55.36,87.5,71.43,43,15,29.00
2,Иркутск,Отель Доходный дом Листратовой,"Подгорная улица, д.16, Иркутск",15,15,5,7,5,6.00,7,33,46,40.00,66.67,53.33,60.00,8,12,10.00
3,Иркутск,Отель Яковлевъ,"улица Тимирязева, д.9, Иркутск",25,25,1,1,1,1.00,1,4,4,4.00,96.0,96.0,96.00,3,2,2.50
4,Иркутск,Отель Nuur Hotel,"улица Карла Либкнехта, д. 85, Иркутск",28,28,14,8,8,11.00,14,50,28,39.28,50.0,71.43,60.72,27,22,24.50
5,Иркутск,Отель Иркут,"улица Пролетарская, д.7, Иркутск",30,30,16,7,7,11.50,16,53,23,38.33,46.67,76.67,61.67,32,14,23.00
6,Иркутск,Ангара Отель,"улица Сухэ-Батора, д.7, Иркутск",300,300,88,14,14,51.00,88,29,4,17.00,70.67,95.33,83.00,156,24,90.00
7,Иркутск,Гостиница 7 дорог,"улица Ядринцева, д. 88, Иркутск",19,19,13,9,9,11.00,13,68,47,57.89,31.58,52.63,42.11,27,32,29.50
8,Иркутск,Отель Матрешка,"Улица Софьи Перовской, д.31/1, Иркутск",35,35,43,10,10,26.50,43,122,28,75.72,-22.86,71.43,24.29,79,20,49.50
9,Иркутск,Отель Амурский,"улица Ленина, д.34, Иркутск",17,17,13,10,10,11.50,13,76,58,67.64,23.53,41.18,32.36,26,24,25.00
10,Иркутск,Отель Азия-Европа,"улица Ядринцева, 1/7, Иркутск",19,19,10,8,8,9.00,10,52,42,47.37,47.37,57.89,52.63,20,16,18.00
11,Иркутск,Отель Аристократ,"улица Ленина, д.9, Иркутск",12,12,9,6,6,7.50,9,75,50,62.50,25.0,50.0,37.50,17,12,14.50
12,Иркутск,Отель Михаил Строгов,"улица Депутатская, д. 36, Иркутск",20,21,12,10,10,11.00,12,60,47,53.81,40.0,52.38,46.19,20,18,19.00
13,Листвянка,Отель Маяк,"улица Горького, дом 85а, Листвянка",54,75,7,5,5,6.00,7,12,6,9.82,87.03999999999999,93.33,90.19,9,9,9.00
14,Иркутск,Отель Baikal Forest,"улица Советская, д.58/1, Иркутск",156,76,124,8,8,66.00,124,79,10,45.01,20.510000000000005,89.47,54.99,268,22,145.00
15,Иркутск,Отель Купеческий Дворъ,"улица Седова, д.10, Иркутск",14,14,11,0,0,5.50,11,78,0,39.28,21.430000000000007,100.0,60.72,22,0,11.00
16,Хужир,Baikal View Hotel,"улица Российская, д. 17, Хужир",99,99,58,2,2,30.00,58,58,2,30.31,41.41,97.98,69.69,116,4,60.00
17,Хужир,Отель Байкал-Хан Ольхон,"улица Ворошилова, д. 18, Хужир",40,37,,,,,,,,,,,,,,
18,Иркутск,Отель Armat,"улица Ширямова, д.33, Иркутск",40,40,49,7,7,28.00,49,122,17,70.00,-22.5,82.5,30.00,99,16,57.50
19,Иркутск,Гостиница Атлас,"проезд Атласова, д.9, Иркутск",29,28,6,5,5,5.50,6,20,17,19.27,79.31,82.14,80.72,11,12,11.50
