merged_id,match_type,city,name,address,ostrovok_rooms_number,tvil_rooms_number,ostrovok_free_rooms,tvil_free_rooms,min_free_rooms,avg_free_rooms,max_free_rooms,ostrovok_free_rooms_pct,tvil_free_rooms_pct,avg_free_rooms_pct,ostrovok_occupancy_pct,tvil_occupancy_pct,avg_occupancy_pct,ostrovok_capacity,tvil_capacity,avg_capacity,ostrovok_min_price,tvil_min_price,min_price
1,matched,Иркутск,Гостиничный Комплекс Русь,"улица Свердлова, д.19, Иркутск",,56,,5,5,5.00,5,,8,8.93,,91.07,91.07,,11,11,,4100,4100
2,matched,Иркутск,Отель Доходный дом Листратовой,"Подгорная улица, д.16, Иркутск",15,15,13,11,11,12.00,13,86,73,80.00,13.329999999999998,26.67,20.00,23,21,22,3108,3108,3108
3,matched,Иркутск,Отель Яковлевъ,"улица Тимирязева, д.9, Иркутск",25,25,8,5,5,6.50,8,32,20,26.00,68.0,80.0,74.00,19,12,16,2823,3000,2823
4,matched,Иркутск,Отель Nuur Hotel,"улица Карла Либкнехта, д. 85, Иркутск",28,28,3,2,2,2.50,3,10,7,8.93,89.28999999999999,92.86,91.07,6,6,6,6300,7300,6300
5,matched,Иркутск,Отель Иркут,"улица Пролетарская, д.7, Иркутск",30,30,15,8,8,11.50,15,50,26,38.34,50.0,73.33,61.66,28,14,21,3200,3200,3200
6,matched,Иркутск,Ангара Отель,"улица Сухэ-Батора, д.7, Иркутск",300,300,11,7,7,9.00,11,3,2,3.00,96.33,97.67,97.00,20,12,16,4250,4500,4250
7,matched,Иркутск,Гостиница 7 дорог,"улица Ядринцева, д. 88, Иркутск",19,19,8,7,7,7.50,8,42,36,39.48,57.89,63.16,60.52,17,25,21,6000,7200,6000
8,matched,Иркутск,Отель Матрешка,"Улица Софьи Перовской, д.31/1, Иркутск",35,35,42,10,10,26.00,42,100,28,64.28,0.0,71.43,35.72,72,20,46,3488,4032,3488
9,matched,Иркутск,Отель Амурский,"улица Ленина, д.34, Иркутск",17,17,11,9,9,10.00,11,64,52,58.82,35.290000000000006,47.06,41.18,24,20,22,14000,14000,14000
10,matched,Иркутск,Отель Азия-Европа,"улица Ядринцева, 1/7, Иркутск",19,19,11,9,9,10.00,11,57,47,52.63,42.11,52.63,47.37,22,18,20,3956,4000,3956
