merged_id,match_type,city,name,address,ostrovok_rooms_number,tvil_rooms_number,ostrovok_free_rooms,tvil_free_rooms,min_free_rooms,avg_free_rooms,max_free_rooms,ostrovok_free_rooms_pct,tvil_free_rooms_pct,avg_free_rooms_pct,ostrovok_occupancy_pct,tvil_occupancy_pct,avg_occupancy_pct,ostrovok_capacity,tvil_capacity,avg_capacity,ostrovok_min_price,tvil_min_price,min_price
1,matched,Иркутск,Гостиничный Комплекс Русь,"улица Свердлова, д.19, Иркутск",,56,,9,9,9.00,9,,16,16.07,,83.93,83.93,,21,21,,4100,4100
2,matched,Иркутск,Отель Доходный дом Листратовой,"Подгорная улица, д.16, Иркутск",15,15,12,11,11,11.50,12,80,73,76.66,20.0,26.67,23.34,22,21,22,3552,3552,3552
3,matched,Иркутск,Отель Яковлевъ,"улица Тимирязева, д.9, Иркутск",25,25,,5,5,5.00,5,,20,20.00,,80.0,80.00,,12,12,,3000,3000
4,matched,Иркутск,Отель Nuur Hotel,"улица Карла Либкнехта, д. 85, Иркутск",28,28,15,7,7,11.00,15,53,25,39.28,46.43,75.0,60.72,30,20,25,5500,6000,5500
5,matched,Иркутск,Отель Иркут,"улица Пролетарская, д.7, Иркутск",30,30,18,7,7,12.50,18,60,23,41.66,40.0,76.67,58.34,35,14,24,2800,3500,2800
6,matched,Иркутск,Ангара Отель,"улица Сухэ-Батора, д.7, Иркутск",300,300,13,8,8,10.50,13,4,2,3.50,95.67,97.33,96.50,26,16,21,4750,5000,4750
7,matched,Иркутск,Гостиница 7 дорог,"улица Ядринцева, д. 88, Иркутск",19,19,,0,0,0.00,0,,0,0.00,,100.0,100.00,,0,0,,,
8,matched,Иркутск,Отель Матрешка,"Улица Софьи Перовской, д.31/1, Иркутск",35,35,22,6,6,14.00,22,62,17,40.00,37.14,82.86,60.00,44,15,30,4065,4662,4065
9,matched,Иркутск,Отель Амурский,"улица Ленина, д.34, Иркутск",17,17,14,10,10,12.00,14,82,58,70.58,17.650000000000006,41.18,29.42,28,22,25,14000,14000,14000
10,matched,Иркутск,Отель Азия-Европа,"улица Ядринцева, 1/7, Иркутск",19,19,8,8,8,8.00,8,42,42,42.11,57.89,57.89,57.89,16,16,16,3986,4000,3986
11,matched,Иркутск,Отель Аристократ,"улица Ленина, д.9, Иркутск",12,12,,,,,,,,,,,,,,,,,
12,matched,Иркутск,Отель Михаил Строгов,"улица Депутатская, д. 36, Иркутск",20,21,11,11,11,11.00,11,55,52,53.69,45.0,47.62,46.31,17,20,18,3909,4500,3909
13,matched,Листвянка,Отель Маяк,"улица Горького, дом 85а, Листвянка",54,75,79,9,9,44.00,79,100,12,56.00,0.0,88.0,44.00,152,17,84,4500,5900,4500
14,matched,Иркутск,Отель Baikal Forest,"улица Советская, д.58/1, Иркутск",156,76,62,7,7,34.50,62,39,9,24.48,60.26,90.78999999999999,75.52,127,19,73,4733,7100,4733
15,matched,Иркутск,Отель Купеческий Дворъ,"улица Седова, д.10, Иркутск",14,14,7,6,6,6.50,7,50,42,46.43,50.0,57.14,53.57,14,18,16,6625,6700,6625
16,matched,Хужир,Baikal View Hotel,"улица Российская, д. 17, Хужир",99,99,60,2,2,31.00,60,60,2,31.32,39.39,97.98,68.69,124,4,64,9103,9200,9103
17,matched,Хужир,Отель Байкал-Хан Ольхон,"улица Ворошилова, д. 18, Хужир",40,37,,,,,,,,,,,,,,,,,
18,matched,Иркутск,Отель Armat,"улица Ширямова, д.33, Иркутск",40,40,52,7,7,29.50,52,100,17,58.75,0.0,82.5,41.25,104,14,59,5200,6200,5200
