merged_id,match_type,city,name,address,ostrovok_rooms_number,tvil_rooms_number,ostrovok_free_rooms,tvil_free_rooms,min_free_rooms,avg_free_rooms,max_free_rooms,ostrovok_free_rooms_pct,tvil_free_rooms_pct,avg_free_rooms_pct,ostrovok_occupancy_pct,tvil_occupancy_pct,avg_occupancy_pct,ostrovok_capacity,tvil_capacity,avg_capacity,ostrovok_min_price,tvil_min_price,min_price
1,matched,Иркутск,Гостиничный Комплекс Русь,"улица Свердлова, д.19, Иркутск",,56,,7,7,7.00,7,,12,12.50,,87.5,87.50,,15,15,,4100,4100
2,matched,Иркутск,Отель Доходный дом Листратовой,"Подгорная улица, д.16, Иркутск",15,15,11,7,7,9.00,11,73,46,60.00,26.67,53.33,40.00,19,15,17,4440,4440,4440
3,matched,Иркутск,Отель Яковлевъ,"улица Тимирязева, д.9, Иркутск",25,25,11,6,6,8.50,11,44,24,34.00,56.0,76.0,66.00,25,14,20,2309,2900,2309
4,matched,Иркутск,Отель Nuur Hotel,"улица Карла Либкнехта, д. 85, Иркутск",28,28,18,6,6,12.00,18,64,21,42.86,35.709999999999994,78.57,57.14,35,15,25,5000,5500,5000
5,matched,Иркутск,Отель Иркут,"улица Пролетарская, д.7, Иркутск",30,30,24,0,0,12.00,24,80,0,40.00,20.0,100.0,60.00,43,0,22,2500,,2500
6,matched,Иркутск,Ангара Отель,"улица Сухэ-Батора, д.7, Иркутск",300,300,101,12,12,56.50,101,33,4,18.84,66.33,96.0,81.16,166,20,93,4250,4500,4250
7,matched,Иркутск,Гостиница 7 дорог,"улица Ядринцева, д. 88, Иркутск",19,19,16,10,10,13.00,16,84,52,68.42,15.790000000000006,47.37,31.58,31,36,34,4500,7200,4500
8,matched,Иркутск,Отель Матрешка,"Улица Софьи Перовской, д.31/1, Иркутск",35,35,44,10,10,27.00,44,100,28,64.28,0.0,71.43,35.72,80,20,50,3780,4284,3780
9,matched,Иркутск,Отель Амурский,"улица Ленина, д.34, Иркутск",17,17,12,10,10,11.00,12,70,58,64.70,29.409999999999997,41.18,35.30,24,22,23,14000,14000,14000
10,matched,Иркутск,Отель Азия-Европа,"улица Ядринцева, 1/7, Иркутск",19,19,0,9,0,4.50,9,0,47,23.68,100.0,52.63,76.31,0,18,9,,4000,4000
11,matched,Иркутск,Отель Аристократ,"улица Ленина, д.9, Иркутск",12,12,,,,,,,,,,,,,,,,,
12,matched,Иркутск,Отель Михаил Строгов,"улица Депутатская, д. 36, Иркутск",20,21,1,1,1,1.00,1,5,4,4.88,95.0,95.24,95.12,1,2,2,5500,5500,5500
13,matched,Листвянка,Отель Маяк,"улица Горького, дом 85а, Листвянка",54,75,30,5,5,17.50,30,55,6,31.12,44.44,93.33,68.88,57,9,33,7245,7245,7245
14,matched,Иркутск,Отель Baikal Forest,"улица Советская, д.58/1, Иркутск",156,76,203,8,8,105.50,203,100,10,55.27,0.0,89.47,44.73,423,22,222,5000,7100,5000
15,matched,Иркутск,Отель Купеческий Дворъ,"улица Седова, д.10, Иркутск",14,14,12,9,9,10.50,12,85,64,75.00,14.290000000000006,35.709999999999994,25.00,24,25,24,6700,6700,6700
16,matched,Хужир,Baikal View Hotel,"улица Российская, д. 17, Хужир",99,99,60,2,2,31.00,60,60,2,31.32,39.39,97.98,68.69,124,4,64,9200,9200,9200
17,matched,Хужир,Отель Байкал-Хан Ольхон,"улица Ворошилова, д. 18, Хужир",40,37,,,,,,,,,,,,,,,,,
18,matched,Иркутск,Отель Armat,"улица Ширямова, д.33, Иркутск",40,40,40,8,8,24.00,40,100,20,60.00,0.0,80.0,40.00,80,17,48,5200,6200,5200
19,matched,Иркутск,Гостиница Атлас,"проезд Атласова, д.9, Иркутск",29,28,8,7,7,7.50,8,27,25,26.30,72.41,75.0,73.70,17,18,18,3177,3300,3177
20,matched,Иркутск,Отель на Звездинской,"Улица Звездинская, д. 5/1, Иркутск",25,30,,6,6,6.00,6,,20,20.00,,80.0,80.00,,12,12,,5000,5000
21,matched,Иркутск,Гостиница Лазурный берег,"Байкальская улица, д. 252Б, Иркутск",65,66,5,4,4,4.50,5,7,6,6.88,92.31,93.94,93.12,10,8,9,3800,4500,3800
