merged_id,match_type,city,name,address,ostrovok_rooms_number,tvil_rooms_number,ostrovok_free_rooms,tvil_free_rooms,min_free_rooms,avg_free_rooms,max_free_rooms,ostrovok_free_rooms_pct,tvil_free_rooms_pct,avg_free_rooms_pct,ostrovok_occupancy_pct,tvil_occupancy_pct,avg_occupancy_pct,ostrovok_capacity,tvil_capacity,avg_capacity,ostrovok_min_price,tvil_min_price,min_price
1,matched,Иркутск,Гостиничный Комплекс Русь,"улица Свердлова, д.19, Иркутск",,56,,3,3,3.00,3,,5,5.36,,94.64,94.64,,5,5,,4100,4100
2,matched,Иркутск,Отель Доходный дом Листратовой,"Подгорная улица, д.16, Иркутск",15,15,2,0,0,1.00,2,13,0,6.67,86.67,100.0,93.34,2,0,1,4160,,4160
3,matched,Иркутск,Отель Яковлевъ,"улица Тимирязева, д.9, Иркутск",25,25,1,1,1,1.00,1,4,4,4.00,96.0,96.0,96.00,3,3,3,4445,4700,4445
4,matched,Иркутск,Отель Nuur Hotel,"улица Карла Либкнехта, д. 85, Иркутск",28,28,,0,0,0.00,0,,0,0.00,,100.0,100.00,,0,0,,,
5,matched,Иркутск,Отель Иркут,"улица Пролетарская, д.7, Иркутск",30,30,8,6,6,7.00,8,26,20,23.34,73.33,80.0,76.66,15,11,13,3200,3200,3200
6,matched,Иркутск,Ангара Отель,"улица Сухэ-Батора, д.7, Иркутск",300,300,47,10,10,28.50,47,15,3,9.50,84.33,96.67,90.50,92,18,55,5250,5500,5250
7,matched,Иркутск,Гостиница 7 дорог,"улица Ядринцева, д. 88, Иркутск",19,19,,0,0,0.00,0,,0,0.00,,100.0,100.00,,0,0,,,
8,matched,Иркутск,Отель Матрешка,"Улица Софьи Перовской, д.31/1, Иркутск",35,35,5,4,4,4.50,5,14,11,12.86,85.71000000000001,88.57,87.14,8,8,8,4977,5351,4977
9,matched,Иркутск,Отель Амурский,"улица Ленина, д.34, Иркутск",17,17,11,10,10,10.50,11,64,58,61.77,35.290000000000006,41.18,38.23,26,24,25,17900,17900,17900
10,matched,Иркутск,Отель Азия-Европа,"улица Ядринцева, 1/7, Иркутск",19,19,10,6,6,8.00,10,52,31,42.11,47.37,68.42,57.89,20,12,16,5193,5250,5193
11,matched,Иркутск,Отель Аристократ,"улица Ленина, д.9, Иркутск",12,12,,0,0,0.00,0,,0,0.00,,100.0,100.00,,0,0,,,
12,matched,Иркутск,Отель Михаил Строгов,"улица Депутатская, д. 36, Иркутск",20,21,,0,0,0.00,0,,0,0.00,,100.0,100.00,,0,0,,,
13,matched,Листвянка,Отель Маяк,"улица Горького, дом 85а, Листвянка",54,75,2,1,1,1.50,2,3,1,2.52,96.3,98.67,97.48,4,2,3,11880,11880,11880
14,matched,Иркутск,Отель Baikal Forest,"улица Советская, д.58/1, Иркутск",156,76,29,5,5,17.00,29,18,6,12.59,81.41,93.42,87.41,63,13,38,8478,11400,8478
15,matched,Иркутск,Отель Купеческий Дворъ,"улица Седова, д.10, Иркутск",14,14,2,2,2,2.00,2,14,14,14.29,85.71000000000001,85.71000000000001,85.71,4,7,6,12756,12900,12756
16,matched,Хужир,Baikal View Hotel,"улица Российская, д. 17, Хужир",99,99,40,4,4,22.00,40,40,4,22.22,59.6,95.96,77.78,84,10,47,11409,11530,11409
17,matched,Хужир,Отель Байкал-Хан Ольхон,"улица Ворошилова, д. 18, Хужир",40,37,6,6,6,6.00,6,15,16,15.61,85.0,83.78,84.39,12,12,12,16320,16500,16320
18,matched,Иркутск,Отель Armat,"улица Ширямова, д.33, Иркутск",40,40,42,10,10,26.00,42,100,25,62.50,0.0,75.0,37.50,84,21,52,7400,7400,7400
19,matched,Иркутск,Гостиница Атлас,"проезд Атласова, д.9, Иркутск",29,28,,0,0,0.00,0,,0,0.00,,100.0,100.00,,0,0,,,
20,matched,Иркутск,Отель на Звездинской,"Улица Звездинская, д. 5/1, Иркутск",25,30,35,5,5,20.00,35,100,16,58.34,0.0,83.33,41.66,75,9,42,3362,5000,3362
21,matched,Иркутск,Гостиница Лазурный берег,"Байкальская улица, д. 252Б, Иркутск",65,66,3,3,3,3.00,3,4,4,4.58,95.38,95.45,95.41,6,6,6,5000,5000,5000
22,matched,Хужир,Отель Байкальский лес (BaikalWood Hotel&SPA),"улица Светлая, д.5, Хужир",44,29,8,2,2,5.00,8,18,6,12.54,81.82,93.1,87.46,16,4,10,13800,13800,13800
23,matched,Иркутск,Гостиница Юбилейная,"микрорайон Юбилейный, д. 118, Иркутск",23,23,14,7,7,10.50,14,60,30,45.65,39.13,69.57,54.35,25,12,18,2475,2500,2475
24,matched,Иркутск,Отель Байкал - Северное Море,"Улица Дальневосточная, д.156, Иркутск",119,120,67,13,13,40.00,67,56,10,33.56,43.7,89.17,66.44,109,31,70,7360,7360,7360
25,matched,Листвянка,Отель Даурия,"улица Куликова, д.44, Листвянка",4,15,1,3,1,2.00,3,25,20,22.50,75.0,80.0,77.50,1,8,4,13000,5500,5500
26,matched,Ангарск,Отель Ангара-Приоритет,"Квартал Б, д.13, Ангарск",31,31,20,9,9,14.50,20,64,29,46.77,35.480000000000004,70.97,53.23,41,22,32,3800,4000,3800
27,matched,Хужир,Семейный отель Дача БайкалЭко,"улица Лесная, д. 32, Хужир",10,10,,0,0,0.00,0,,0,0.00,,100.0,100.00,,0,0,,,
28,matched,Нижнеудинск,Октябрьская,"улица Октябрьская, д.1 Б, Нижнеудинск",,5,4,2,2,3.00,4,100,40,70.00,0.0,60.0,30.00,7,4,6,1500,1500,1500
29,matched,Иркутск,Отель Тайга,"улица Сурикова, д.4в, Иркутск",44,44,,0,0,0.00,0,,0,0.00,,100.0,100.00,,0,0,,,
30,matched,Братск,Клубный Квартал,"бульвар Победы, д.30, Братск",67,48,3,2,2,2.50,3,4,4,4.33,95.52,95.83,95.67,3,4,4,3400,3400,3400
31,matched,Иркутск,Отель North Star,"улица Седова, 4, Иркутск",12,12,,0,0,0.00,0,,0,0.00,,100.0,100.00,,0,0,,,
32,matched,Иркутск,Отель Байкал Бизнес Центр,"улица Байкальская, д.279, Иркутск",59,59,2,1,1,1.50,2,3,1,2.54,96.61,98.31,97.46,4,3,4,8100,9400,8100
33,matched,Иркутск,Гостиница Альпари,"микрорайон Приморский, д.24 А, Иркутск",10,10,,0,0,0.00,0,,0,0.00,,100.0,100.00,,0,0,,,
34,matched,Черемхово,Shelest,"улица Марата, д. 109, Черемхово",,8,6,3,3,4.50,6,100,37,68.75,0.0,62.5,31.25,12,6,9,4908,5000,4908
35,matched,Иркутск,Гостиничный Комплекс Русь,"улица Свердлова,19, Иркутск",56,56,2,3,2,2.50,3,3,5,4.46,96.43,94.64,95.53,2,5,4,4100,4100,4100
36,matched,Иркутск,Отель гостиница Автовокзал,"улица Октябрьской Революции, 11, Иркутск",,22,,,,,,,,,,,,,,,,,
37,matched,Байкальск,Отель Космос,"Гагарина микрорайон, 2а, Байкальск",16,16,7,7,7,7.00,7,43,43,43.75,56.25,56.25,56.25,16,26,21,3636,3675,3636
38,matched,Байкальск,Парк-отель Соболинка,"квартал Красный Ключ, д.90, Байкальск",38,33,2,4,2,3.00,4,5,12,8.69,94.74,87.88,91.31,3,8,6,6973,7700,6973
39,matched,Бурдугуз,Парк-Отель Бурдугуз,"улица Лесная, д.1, Бурдугуз",69,69,6,4,4,5.00,6,8,5,7.25,91.3,94.2,92.75,12,12,12,19500,19500,19500
40,matched,Листвянка,Отель Подлеморье,"улица Горького, д.31Б, Листвянка",14,14,7,6,6,6.50,7,50,42,46.43,50.0,57.14,53.57,15,13,14,5500,5500,5500
41,matched,Иркутск,Отель Лотос,"Байкальская улица, д.14 Б, Иркутск",23,21,15,11,11,13.00,15,65,52,58.80,34.78,47.62,41.20,30,26,28,1150,1150,1150
42,matched,Иркутск,Отель Звезда,"улица Ядринцева, д. 1Ж, Иркутск",65,64,2,2,2,2.00,2,3,3,3.10,96.92,96.88,96.90,4,5,4,16013,16500,16013
43,matched,Братск,Отель Белый берег,"ул. Курчатова 65, Братск, Братск",5,5,5,4,4,4.50,5,100,80,90.00,0.0,20.0,10.00,12,16,14,6300,9500,6300
44,matched,Байкальск,Отель Гранд Байкал,"мкр. Красный Ключ, 91, Байкальск",64,64,11,3,3,7.00,11,17,4,10.94,82.81,95.31,89.06,22,9,16,9495,9600,9495
45,matched,Иркутск,Гостиница У Истока,"Ржанова ул., д. 43, Иркутск",24,24,0,0,0,0.00,0,0,0,0.00,100.0,100.0,100.00,0,0,0,,,
46,matched,Сарма,Парк-Отель Алтан,"тер. база отдыха Алтан, стр. 1, Сарма",21,21,0,4,0,2.00,4,0,19,9.53,100.0,80.95,90.47,0,14,7,,25000,25000
47,unmatched_ostrovok,Иркутск,Гостиница Виктория,"улица Богдана Хмельницкого, д.1 Иркутск, Россия, Иркутск",30,,,,,,,,,,,,,,,,,,
48,unmatched_ostrovok,Листвянка,Отель Вера Байкал,"улица Горького, 8, Листвянка",38,,4,,4,4.00,4,10,,10.53,89.47,,89.47,8,,8,10735,,10735
49,unmatched_ostrovok,Иркутск,Отель Ибис Иркутск Центр,"улица Полины Осипенко, дом 5, Иркутск",128,,,,,,,,,,,,,,,,,,
50,unmatched_ostrovok,Хужир,Ольхон стори,"улица Народная, д.19, Хужир",6,,,,,,,,,,,,,,,,,,
51,unmatched_ostrovok,Иркутск,Квартира в центре Иркутска,"улица Российская, д. 14А, Иркутск",,,,,,,,,,,,,,,,,,,
52,unmatched_ostrovok,Иркутск,Отель Европа,"улица Байкальская, д.69, Иркутск",58,,,,,,,,,,,,,,,,,,
53,unmatched_ostrovok,Иркутск,Отель Иркутск Сити Центр,"ул. Чкалова, д. 15, Иркутск",206,,7,,7,7.00,7,3,,3.40,96.6,,96.60,14,,14,13500,,13500
54,unmatched_ostrovok,Иркутск,Гостиница Империя,"ул. Польских Повстанцев, 1Б, Иркутск",49,,1,,1,1.00,1,2,,2.04,97.96,,97.96,2,,2,10100,,10100
