merged_id,match_type,city,name,address,ostrovok_rooms_number,tvil_rooms_number,ostrovok_free_rooms,tvil_free_rooms,min_free_rooms,avg_free_rooms,max_free_rooms,ostrovok_free_rooms_pct,tvil_free_rooms_pct,avg_free_rooms_pct,ostrovok_occupancy_pct,tvil_occupancy_pct,avg_occupancy_pct,ostrovok_capacity,tvil_capacity,avg_capacity,ostrovok_min_price,tvil_min_price,min_price
1,matched,Иркутск,Гостиничный Комплекс Русь,"улица Свердлова, д.19, Иркутск",,56,,9,9,9.00,9,,16,16.07,,83.93,83.93,,21,21,,4100,4100
2,matched,Иркутск,Отель Доходный дом Листратовой,"Подгорная улица, д.16, Иркутск",15,15,,7,7,7.00,7,,46,46.67,,53.33,53.33,,12,12,,3108,3108
3,matched,Иркутск,Отель Яковлевъ,"улица Тимирязева, д.9, Иркутск",25,25,12,5,5,8.50,12,48,20,34.00,52.0,80.0,66.00,25,11,18,2841,3000,2841
4,matched,Иркутск,Отель Nuur Hotel,"улица Карла Либкнехта, д. 85, Иркутск",28,28,,0,0,0.00,0,,0,0.00,,100.0,100.00,,0,0,,,
5,matched,Иркутск,Отель Иркут,"улица Пролетарская, д.7, Иркутск",30,30,21,10,10,15.50,21,70,33,51.66,30.0,66.67,48.34,39,17,28,2800,2800,2800
6,matched,Иркутск,Ангара Отель,"улица Сухэ-Батора, д.7, Иркутск",300,300,114,13,13,63.50,114,38,4,21.16,62.0,95.67,78.84,188,22,105,4250,4500,4250
7,matched,Иркутск,Гостиница 7 дорог,"улица Ядринцева, д. 88, Иркутск",19,19,14,0,0,7.00,14,73,0,36.84,26.319999999999993,100.0,63.16,29,0,14,4500,,4500
8,matched,Иркутск,Отель Матрешка,"Улица Софьи Перовской, д.31/1, Иркутск",35,35,,9,9,9.00,9,,25,25.71,,74.28999999999999,74.29,,19,19,,3906,3906
9,matched,Иркутск,Отель Амурский,"улица Ленина, д.34, Иркутск",17,17,13,10,10,11.50,13,76,58,67.64,23.53,41.18,32.36,26,22,24,16000,16000,16000
10,matched,Иркутск,Отель Азия-Европа,"улица Ядринцева, 1/7, Иркутск",19,19,0,7,0,3.50,7,0,36,18.42,100.0,63.16,81.58,0,14,7,,4000,4000
11,matched,Иркутск,Отель Аристократ,"улица Ленина, д.9, Иркутск",12,12,11,6,6,8.50,11,91,50,70.84,8.329999999999998,50.0,29.16,21,12,16,3900,4500,3900
12,matched,Иркутск,Отель Михаил Строгов,"улица Депутатская, д. 36, Иркутск",20,21,3,11,3,7.00,11,15,52,33.69,85.0,47.62,66.31,6,20,13,3877,4500,3877
13,matched,Листвянка,Отель Маяк,"улица Горького, дом 85а, Листвянка",54,75,79,8,8,43.50,79,100,10,55.34,0.0,89.33,44.66,150,15,82,7000,8820,7000
14,matched,Иркутск,Отель Baikal Forest,"улица Советская, д.58/1, Иркутск",156,76,,8,8,8.00,8,,10,10.53,,89.47,89.47,,22,22,,5800,5800
15,matched,Иркутск,Отель Купеческий Дворъ,"улица Седова, д.10, Иркутск",14,14,13,11,11,12.00,13,92,78,85.72,7.140000000000001,21.430000000000007,14.29,26,32,29,6700,6700,6700
16,matched,Хужир,Baikal View Hotel,"улица Российская, д. 17, Хужир",99,99,59,2,2,30.50,59,59,2,30.81,40.4,97.98,69.19,120,4,62,10764,10764,10764
17,matched,Хужир,Отель Байкал-Хан Ольхон,"улица Ворошилова, д. 18, Хужир",40,37,26,7,7,16.50,26,65,18,41.96,35.0,81.08,58.04,52,14,33,12650,12650,12650
18,matched,Иркутск,Отель Армат,"улица Ширямова, д.33, Иркутск",40,40,68,0,0,34.00,68,100,0,50.00,0.0,100.0,50.00,136,0,68,5200,,5200
19,matched,Иркутск,Гостиница Атлас,"проезд Атласова, д.9, Иркутск",29,28,10,9,9,9.50,10,34,32,33.31,65.52000000000001,67.86,66.69,21,22,22,3563,3700,3563
20,matched,Иркутск,Отель на Звездинской,"Улица Звездинская, д. 5/1, Иркутск",25,30,35,6,6,20.50,35,100,20,60.00,0.0,80.0,40.00,75,12,44,3400,5000,3400
21,matched,Иркутск,Гостиница Лазурный берег,"Байкальская улица, д. 252Б, Иркутск",65,66,7,5,5,6.00,7,10,7,9.18,89.23,92.42,90.83,14,10,12,3800,4500,3800
22,matched,Хужир,Отель Байкальский лес (BaikalWood Hotel&SPA),"улица Светлая, д.5, Хужир",44,29,0,6,0,3.00,6,0,20,10.35,100.0,79.31,89.66,0,14,7,,10350,10350
23,matched,Иркутск,Гостиница Юбилейная,"микрорайон Юбилейный, д. 118, Иркутск",23,23,0,9,0,4.50,9,0,39,19.57,100.0,60.87,80.44,0,15,8,2365,2500,2365
24,matched,Иркутск,Отель Байкал - Северное Море,"Улица Дальневосточная, д.156, Иркутск",119,120,69,13,13,41.00,69,57,10,34.41,42.02,89.17,65.59,119,31,75,4530,5000,4530
25,matched,Листвянка,Отель Даурия,"улица Куликова, д.44, Листвянка",4,15,,,,,,,,,,,,,,,,,
26,matched,Ангарск,Отель Ангара-Приоритет,"Квартал Б, д.13, Ангарск",31,31,21,9,9,15.00,21,67,29,48.38,32.260000000000005,70.97,51.62,44,22,33,4500,4500,4500
27,matched,Хужир,Семейный отель Дача БайкалЭко,"улица Лесная, д. 32, Хужир",10,10,,,,,,,,,,,,,,,,,
28,matched,Нижнеудинск,Октябрьская,"улица Октябрьская, д.1 Б, Нижнеудинск",,5,4,0,0,2.00,4,100,0,50.00,0.0,100.0,50.00,8,0,4,2000,,2000
29,matched,Иркутск,Отель Тайга,"улица Сурикова, д.4в, Иркутск",44,44,42,11,11,26.50,42,95,25,60.23,4.549999999999997,75.0,39.77,100,27,64,2990,4600,2990
30,matched,Братск,Клубный Квартал,"бульвар Победы, д.30, Братск",67,48,18,5,5,11.50,18,26,10,18.64,73.13,89.58,81.35,18,10,14,3500,3500,3500
31,matched,Иркутск,Отель North Star,"улица Седова, 4, Иркутск",12,12,,,,,,,,,,,,,,,,,
32,matched,Иркутск,Отель Байкал Бизнес Центр,"улица Байкальская, д.279, Иркутск",59,59,8,6,6,7.00,8,13,10,11.87,86.44,89.83,88.13,16,16,16,6300,7600,6300
33,matched,Иркутск,Гостиница Альпари,"микрорайон Приморский, д.24 А, Иркутск",10,10,1,1,1,1.00,1,10,10,10.00,90.0,90.0,90.00,2,2,2,2400,2400,2400
34,matched,Черемхово,Shelest,"улица Марата, д. 109, Черемхово",,8,6,4,4,5.00,6,100,50,75.00,0.0,50.0,25.00,12,8,10,4960,5000,4960
35,matched,Иркутск,Гостиничный Комплекс Русь,"улица Свердлова,19, Иркутск",56,56,64,9,9,36.50,64,100,16,58.03,0.0,83.93,41.97,115,21,68,3266,4100,3266
36,matched,Иркутск,Отель Автовокзал,"улица Октябрьской Революции, 11, Иркутск",22,22,10,6,6,8.00,10,45,27,36.36,54.55,72.73,63.64,10,10,10,2600,2600,2600
37,matched,Байкальск,Отель Космос,"Гагарина микрорайон, 2а, Байкальск",16,16,10,7,7,8.50,10,62,43,53.12,37.5,56.25,46.88,24,26,25,2675,2675,2675
38,matched,Байкальск,Парк-отель Соболинка,"квартал Красный Ключ, д.90, Байкальск",38,33,,,,,,,,,,,,,,,,,
39,matched,Бурдугуз,Парк-Отель Бурдугуз,"улица Лесная, д.1, Бурдугуз",69,69,0,5,0,2.50,5,0,7,3.62,100.0,92.75,96.38,0,15,8,,19500,19500
40,matched,Листвянка,Отель Подлеморье,"улица Горького, д.31Б, Листвянка",14,14,3,2,2,2.50,3,21,14,17.86,78.57,85.71000000000001,82.14,8,6,7,5000,7000,5000
41,matched,Иркутск,Отель Лотос,"Байкальская улица, д.14 Б, Иркутск",23,21,16,11,11,13.50,16,69,52,60.97,30.430000000000007,47.62,39.03,33,24,28,1100,1100,1100
42,matched,Иркутск,Отель Звезда,"улица Ядринцева, д. 1Ж, Иркутск",65,64,63,6,6,34.50,63,96,9,53.15,3.0799999999999983,90.62,46.85,126,14,70,5177,5200,5177
43,matched,Братск,Отель Белый берег,"ул. Курчатова 65, Братск, Братск",5,5,2,1,1,1.50,2,40,20,30.00,60.0,80.0,70.00,5,2,4,6300,9500,6300
44,matched,Байкальск,Отель Гранд Байкал,"мкр. Красный Ключ, 91, Байкальск",64,64,13,5,5,9.00,13,20,7,14.06,79.69,92.19,85.94,24,11,18,3684,4800,3684
45,matched,Иркутск,Гостиница У Истока,"Ржанова ул., д. 43, Иркутск",24,24,0,4,0,2.00,4,0,16,8.34,100.0,83.33,91.66,0,8,4,,3400,3400
46,matched,Сарма,Парк-Отель Алтан,"тер. база отдыха Алтан, стр. 1, Сарма",21,21,0,0,0,0.00,0,0,0,0.00,100.0,100.0,100.00,0,0,0,,,
47,unmatched_ostrovok,Иркутск,Гостиница Виктория,"улица Богдана Хмельницкого, д.1 Иркутск, Россия, Иркутск",30,,41,,41,41.00,41,100,,100.00,0.0,,0.00,82,,82,3000,,3000
48,unmatched_ostrovok,Листвянка,Отель Вера Байкал,"улица Горького, 8, Листвянка",38,,43,,43,43.00,43,100,,100.00,0.0,,0.00,86,,86,6745,,6745
49,unmatched_ostrovok,Иркутск,Отель Ибис Иркутск Центр,"улица Полины Осипенко, дом 5, Иркутск",128,,,,,,,,,,,,,,,,,,
50,unmatched_ostrovok,Хужир,Ольхон стори,"улица Народная, д.19, Хужир",6,,12,,12,12.00,12,100,,100.00,0.0,,0.00,18,,18,7500,,7500
51,unmatched_ostrovok,Иркутск,Квартира в центре Иркутска,"улица Российская, д. 14А, Иркутск",,,,,,,,,,,,,,,,,,,
52,unmatched_ostrovok,Иркутск,Отель Европа,"улица Байкальская, д.69, Иркутск",58,,50,,50,50.00,50,86,,86.21,13.790000000000006,,13.79,85,,85,3100,,3100
53,unmatched_ostrovok,Иркутск,Отель Иркутск Сити Центр,"ул. Чкалова, д. 15, Иркутск",206,,149,,149,149.00,149,72,,72.33,27.67,,27.67,298,,298,5100,,5100
54,unmatched_ostrovok,Иркутск,Гостиница Империя,"улица Польских Повстанцев, стр. 1а/2, Иркутск",49,,,,,,,,,,,,,,,,,,
55,unmatched_ostrovok,Иркутск,Мини-Отель Good Hotel,"ул Сибирская, стр. 21/2, помещ. 1, Иркутск",6,,7,,7,7.00,7,100,,100.00,0.0,,0.00,15,,15,2200,,2200
56,unmatched_ostrovok,Хужир,Sunrise,"Первомайская улица, 25А, Хужир",,,,,,,,,,,,,,,,,,,
57,unmatched_ostrovok,Иркутск,AZIMUT Отель Аэропорт Иркутск 4*,"ул. Ширямова, 10А, Иркутск",100,,71,,71,71.00,71,71,,71.00,29.0,,29.00,140,,140,6400,,6400
58,unmatched_ostrovok,Листвянка,Отель Байкал,"Академическая улица, 13, Листвянка",72,,53,,53,53.00,53,73,,73.61,26.39,,26.39,104,,104,9000,,9000
59,unmatched_ostrovok,Иркутск,Премиум-отель Пушкин,"ул. Сухэ-Батора, 18, Иркутск",46,,41,,41,41.00,41,89,,89.13,10.870000000000005,,10.87,82,,82,13500,,13500
60,unmatched_ostrovok,Иркутск,Отель Business Hall,"улица Свердлова, д.10, Иркутск",18,,18,,18,18.00,18,100,,100.00,0.0,,0.00,34,,34,3790,,3790
61,unmatched_ostrovok,Листвянка,Байкалия,"Горная улица, 15, Листвянка",,,5,,5,5.00,5,100,,100.00,0.0,,0.00,15,,15,7469,,7469
