merged_id,match_type,city,name,address,ostrovok_rooms_number,tvil_rooms_number,ostrovok_free_rooms,tvil_free_rooms,min_free_rooms,avg_free_rooms,max_free_rooms,ostrovok_free_rooms_pct,tvil_free_rooms_pct,avg_free_rooms_pct,ostrovok_occupancy_pct,tvil_occupancy_pct,avg_occupancy_pct,ostrovok_capacity,tvil_capacity,avg_capacity,ostrovok_min_price,tvil_min_price,min_price
1,matched,Иркутск,Гостиничный Комплекс Русь,"улица Свердлова, д.19, Иркутск",,56,,9,9,9.00,9,,16,16.07,,83.93,83.93,,21,21,,4600,4600
2,matched,Иркутск,Отель Доходный дом Листратовой,"Подгорная улица, д.16, Иркутск",15,15,8,6,6,7.00,8,53,40,46.66,46.67,60.0,53.34,13,14,14,3885,3885,3885
3,matched,Иркутск,Отель Яковлевъ,"улица Тимирязева, д.9, Иркутск",25,25,12,5,5,8.50,12,48,20,34.00,52.0,80.0,66.00,26,11,18,2689,3000,2689
4,matched,Иркутск,Отель Nuur Hotel,"улица Карла Либкнехта, д. 85, Иркутск",28,28,29,7,7,18.00,29,100,25,62.50,0.0,75.0,37.50,58,20,39,6500,7100,6500
5,matched,Иркутск,Отель Иркут,"улица Пролетарская, д.7, Иркутск",30,30,15,9,9,12.00,15,50,30,40.00,50.0,70.0,60.00,28,16,22,3200,3200,3200
6,matched,Иркутск,Ангара Отель,"улица Сухэ-Батора, д.7, Иркутск",300,300,96,14,14,55.00,96,32,4,18.34,68.0,95.33,81.66,158,24,91,5250,5500,5250
7,matched,Иркутск,Гостиница 7 дорог,"улица Ядринцева, д. 88, Иркутск",19,19,11,6,6,8.50,11,57,31,44.73,42.11,68.42,55.27,19,23,21,5600,8400,5600
8,matched,Иркутск,Отель Матрешка,"Улица Софьи Перовской, д.31/1, Иркутск",35,35,39,9,9,24.00,39,100,25,62.86,0.0,74.28999999999999,37.14,67,19,43,4128,4982,4128
9,matched,Иркутск,Отель Амурский,"улица Ленина, д.34, Иркутск",17,17,16,11,11,13.50,16,94,64,79.41,5.8799999999999955,35.290000000000006,20.59,36,26,31,17900,17900,17900
10,matched,Иркутск,Отель Азия-Европа,"улица Ядринцева, 1/7, Иркутск",19,19,12,7,7,9.50,12,63,36,50.00,36.84,63.16,50.00,24,14,19,3818,4000,3818
11,matched,Иркутск,Отель Аристократ,"улица Ленина, д.9, Иркутск",12,12,13,6,6,9.50,13,100,50,75.00,0.0,50.0,25.00,21,12,16,5100,5100,5100
12,matched,Иркутск,Отель Михаил Строгов,"улица Депутатская, д. 36, Иркутск",20,21,13,10,10,11.50,13,65,47,56.31,35.0,52.38,43.69,21,18,20,3818,4500,3818
13,matched,Листвянка,Отель Маяк,"улица Горького, дом 85а, Листвянка",54,75,28,6,6,17.00,28,51,8,29.93,48.15,92.0,70.08,52,10,31,7000,10340,7000
14,matched,Иркутск,Отель Форест,"улица Советская, д.58/1, Иркутск",156,76,68,5,5,36.50,68,43,6,25.09,56.41,93.42,74.91,136,15,76,5842,7395,5842
15,matched,Иркутск,Отель Купеческий Дворъ,"улица Седова, д.10, Иркутск",14,14,13,11,11,12.00,13,92,78,85.72,7.140000000000001,21.430000000000007,14.29,26,33,30,6109,6560,6109
16,matched,Хужир,Baikal View Hotel,"улица Российская, д. 17, Хужир",99,99,74,6,6,40.00,74,74,6,40.41,25.25,93.94,59.59,152,36,94,12125,12254,12125
17,matched,Хужир,Отель Байкал-Хан Ольхон,"улица Ворошилова, д. 18, Хужир",40,37,29,6,6,17.50,29,72,16,44.36,27.5,83.78,55.64,58,12,35,14080,15000,14080
