merged_id,match_type,city,name,address,ostrovok_rooms_number,tvil_rooms_number,ostrovok_free_rooms,tvil_free_rooms,min_free_rooms,avg_free_rooms,max_free_rooms,ostrovok_free_rooms_pct,tvil_free_rooms_pct,avg_free_rooms_pct,ostrovok_occupancy_pct,tvil_occupancy_pct,avg_occupancy_pct,ostrovok_capacity,tvil_capacity,avg_capacity,ostrovok_min_price,tvil_min_price,min_price
1,matched,Иркутск,Гостиничный Комплекс Русь,"улица Свердлова, д.19, Иркутск",,56,,9,9,9.00,9,,16,16.07,,83.93,83.93,,21,21,,4100,4100
2,matched,Иркутск,Отель Доходный дом Листратовой,"Подгорная улица, д.16, Иркутск",15,15,8,8,8,8.00,8,53,53,53.33,46.67,46.67,46.67,17,17,17,3885,3885,3885
3,matched,Иркутск,Отель Яковлевъ,"улица Тимирязева, д.9, Иркутск",25,25,8,5,5,6.50,8,32,20,26.00,68.0,80.0,74.00,17,10,14,3797,4000,3797
4,matched,Иркутск,Отель Nuur Hotel,"улица Карла Либкнехта, д. 85, Иркутск",28,28,20,8,8,14.00,20,71,28,50.00,28.569999999999993,71.43,50.00,39,21,30,5500,6000,5500
5,matched,Иркутск,Отель Иркут,"улица Пролетарская, д.7, Иркутск",30,30,19,0,0,9.50,19,63,0,31.66,36.67,100.0,68.34,36,0,18,3000,,3000
6,matched,Иркутск,Ангара Отель,"улица Сухэ-Батора, д.7, Иркутск",300,300,51,13,13,32.00,51,17,4,10.66,83.0,95.67,89.34,84,22,53,5250,5500,5250
7,matched,Иркутск,Гостиница 7 дорог,"улица Ядринцева, д. 88, Иркутск",19,19,11,0,0,5.50,11,57,0,28.95,42.11,100.0,71.06,23,0,12,6190,,6190
8,matched,Иркутск,Отель Матрешка,"Улица Софьи Перовской, д.31/1, Иркутск",35,35,6,3,3,4.50,6,17,8,12.86,82.86,91.43,87.15,12,7,10,4935,5412,4935
9,matched,Иркутск,Отель Амурский,"улица Ленина, д.34, Иркутск",17,17,15,10,10,12.50,15,88,58,73.53,11.760000000000005,41.18,26.47,34,24,29,14000,14000,14000
10,matched,Иркутск,Отель Азия-Европа,"улица Ядринцева, 1/7, Иркутск",19,19,7,7,7,7.00,7,36,36,36.84,63.16,63.16,63.16,14,14,14,3956,4000,3956
11,matched,Иркутск,Отель Аристократ,"улица Ленина, д.9, Иркутск",12,12,1,2,1,1.50,2,8,16,12.50,91.67,83.33,87.50,1,2,2,3900,4500,3900
