merged_id,city,name,address,ostrovok_rooms_number,tvil_rooms_number,ostrovok_free_rooms,tvil_free_rooms,min_free_rooms,avg_free_rooms,max_free_rooms,ostrovok_free_rooms_pct,tvil_free_rooms_pct,avg_free_rooms_pct,ostrovok_occupancy_pct,tvil_occupancy_pct,avg_occupancy_pct,ostrovok_capacity,tvil_capacity,avg_capacity
1,Иркутск,Гостиничный Комплекс Русь,"улица Свердлова, д.19, Иркутск",,56,,,,,,,,,,,,,,
2,Иркутск,Отель Доходный дом Листратовой,"Подгорная улица, д.16, Иркутск",15,15,,2,2,2.00,2,,13,13.33,,86.67,86.67,,2,2.00
3,Иркутск,Отель Яковлевъ,"улица Тимирязева, д.9, Иркутск",25,25,,0,0,0.00,0,,0,0.00,,100.0,100.00,,0,0.00
4,Иркутск,Отель Nuur Hotel,"улица Карла Либкнехта, д. 85, Иркутск",28,28,13,3,3,8.00,13,46,10,28.57,53.57,89.28999999999999,71.43,26,8,17.00
5,Иркутск,Отель Иркут,"улица Пролетарская, д.7, Иркутск",30,30,,4,4,4.00,4,,13,13.33,,86.67,86.67,,7,7.00
6,Иркутск,Ангара Отель,"улица Сухэ-Батора, д.7, Иркутск",300,300,29,11,11,20.00,29,9,3,6.67,90.33,96.33,93.33,55,20,37.50
7,Иркутск,Гостиница 7 дорог,"улица Ядринцева, д. 88, Иркутск",19,19,1,1,1,1.00,1,5,5,5.26,94.74,94.74,94.74,3,5,4.00
8,Иркутск,Отель Матрешка,"Улица Софьи Перовской, д.31/1, Иркутск",35,35,,,,,,,,,,,,,,
9,Иркутск,Отель Амурский,"улица Ленина, д.34, Иркутск",17,17,2,3,2,2.50,3,11,17,14.70,88.24,82.35,85.29,4,6,5.00
10,Иркутск,Отель Азия-Европа,"улица Ядринцева, 1/7, Иркутск",19,19,1,1,1,1.00,1,5,5,5.26,94.74,94.74,94.74,2,2,2.00
11,Иркутск,Отель Аристократ,"улица Ленина, д.9, Иркутск",12,12,7,4,4,5.50,7,58,33,45.83,41.67,66.67,54.17,11,8,9.50
12,Иркутск,Отель Михаил Строгов,"улица Депутатская, д. 36, Иркутск",20,21,3,1,1,2.00,3,15,4,9.88,85.0,95.24,90.12,5,1,3.00
13,Листвянка,Отель Маяк,"улица Горького, дом 85а, Листвянка",54,75,44,7,7,25.50,44,81,9,45.41,18.519999999999996,90.67,54.59,80,13,46.50
14,Иркутск,Отель Baikal Forest,"улица Советская, д.58/1, Иркутск",156,76,27,4,4,15.50,27,17,5,11.29,82.69,94.74,88.72,54,12,33.00
15,Иркутск,Отель Купеческий Дворъ,"улица Седова, д.10, Иркутск",14,14,,0,0,0.00,0,,0,0.00,,100.0,100.00,,0,0.00
16,Хужир,Baikal View Hotel,"улица Российская, д. 17, Хужир",99,99,52,4,4,28.00,52,52,4,28.29,47.47,95.96,71.72,104,10,57.00
17,Хужир,Отель Байкал-Хан Ольхон,"улица Ворошилова, д. 18, Хужир",40,37,10,7,7,8.50,10,25,18,21.96,75.0,81.08,78.04,20,14,17.00
18,Иркутск,Отель Armat,"улица Ширямова, д.33, Иркутск",40,40,28,7,7,17.50,28,70,17,43.75,30.0,82.5,56.25,56,14,35.00
19,Иркутск,Гостиница Атлас,"проезд Атласова, д.9, Иркутск",29,28,,0,0,0.00,0,,0,0.00,,100.0,100.00,,0,0.00
20,Иркутск,Отель на Звездинской,"Улица Звездинская, д. 5/1, Иркутск",25,30,35,5,5,20.00,35,100,16,58.34,0.0,83.33,41.66,75,9,42.00
21,Иркутск,Гостиница Лазурный берег,"Байкальская улица, д. 252Б, Иркутск",65,66,1,0,0,0.50,1,1,0,0.77,98.46,100.0,99.23,2,0,1.00
22,Хужир,Отель Байкальский лес (BaikalWood Hotel&SPA),"улица Светлая, д.5, Хужир",44,29,,0,0,0.00,0,,0,0.00,,100.0,100.00,,0,0.00
23,Иркутск,Гостиница Юбилейная,"микрорайон Юбилейный, д. 118, Иркутск",23,23,0,5,0,2.50,5,0,21,10.87,100.0,78.26,89.13,0,10,5.00
24,Иркутск,Отель Байкал - Северное Море,"Улица Дальневосточная, д.156, Иркутск",119,120,40,10,10,25.00,40,33,8,20.97,66.39,91.67,79.03,67,24,45.50
25,Листвянка,Отель Даурия,"улица Куликова, д.44, Листвянка",4,15,10,3,3,6.50,10,100,20,60.00,0.0,80.0,40.00,20,6,13.00
26,Ангарск,Отель Ангара-Приоритет,"Квартал Б, д.13, Ангарск",31,31,1,0,0,0.50,1,3,0,1.61,96.77,100.0,98.38,2,0,1.00
27,Хужир,Семейный отель Дача БайкалЭко,"улица Лесная, д. 32, Хужир",10,10,1,0,0,0.50,1,10,0,5.00,90.0,100.0,95.00,1,0,0.50
28,Нижнеудинск,Октябрьская,"улица Октябрьская, д.1 Б, Нижнеудинск",,5,7,3,3,5.00,7,100,60,80.00,0.0,40.0,20.00,12,5,8.50
29,Иркутск,Отель Тайга,"улица Сурикова, д.4в, Иркутск",44,44,,0,0,0.00,0,,0,0.00,,100.0,100.00,,0,0.00
30,Братск,Клубный Квартал,"бульвар Победы, д.30, Братск",67,48,,2,2,2.00,2,,4,4.17,,95.83,95.83,,4,4.00
31,Иркутск,Отель North Star,"улица Седова, 4, Иркутск",12,12,,1,1,1.00,1,,8,8.33,,91.67,91.67,,2,2.00
32,Иркутск,Отель Байкал Бизнес Центр,"улица Байкальская, д.279, Иркутск",59,59,8,6,6,7.00,8,13,10,11.87,86.44,89.83,88.13,14,12,13.00
33,Иркутск,Гостиница Альпари,"микрорайон Приморский, д.24 А, Иркутск",10,10,8,4,4,6.00,8,80,40,60.00,20.0,60.0,40.00,16,10,13.00
34,Черемхово,Shelest,"улица Марата, д. 109, Черемхово",,8,5,3,3,4.00,5,100,37,68.75,0.0,62.5,31.25,10,6,8.00
35,Иркутск,Гостиничный Комплекс Русь,"улица Свердлова,19, Иркутск",56,56,,,,,,,,,,,,,,
36,Байкальск,Отель Космос,"Гагарина микрорайон, 2а, Байкальск",16,16,2,2,2,2.00,2,12,12,12.50,87.5,87.5,87.50,3,8,5.50
37,Байкальск,Парк-отель Соболинка,"квартал Красный Ключ, д.90, Байкальск",38,33,2,4,2,3.00,4,5,12,8.69,94.74,87.88,91.31,3,8,5.50
38,Бурдугуз,Парк-Отель Бурдугуз,"улица Лесная, д.1, Бурдугуз",69,69,,10,10,10.00,10,,14,14.49,,85.51,85.51,,30,30.00
39,Листвянка,Отель Подлеморье,"улица Горького, д.31Б, Листвянка",14,14,5,5,5,5.00,5,35,35,35.71,64.28999999999999,64.28999999999999,64.29,12,12,12.00
40,Иркутск,Отель Лотос,"Байкальская улица, д.14 Б, Иркутск",23,21,1,1,1,1.00,1,4,4,4.55,95.65,95.24,95.44,3,2,2.50
41,Иркутск,Отель Звезда,"улица Ядринцева, д. 1Ж, Иркутск",65,64,16,6,6,11.00,16,24,9,17.00,75.38,90.62,83.00,32,14,23.00
42,Братск,Отель Белый берег,"ул. Курчатова 65, Братск, Братск",5,5,5,4,4,4.50,5,100,80,90.00,0.0,20.0,10.00,12,16,14.00
43,Байкальск,Отель Гранд Байкал,"мкр. Красный Ключ, 91, Байкальск",64,64,6,2,2,4.00,6,9,3,6.25,90.62,96.88,93.75,12,6,9.00
44,Иркутск,Гостиница У Истока,"Ржанова ул., д. 43, Иркутск",24,24,5,1,1,3.00,5,20,4,12.50,79.17,95.83,87.50,13,2,7.50
45,Сарма,Парк-Отель Алтан,"тер. база отдыха Алтан, стр. 1, Сарма",21,21,,0,0,0.00,0,,0,0.00,,100.0,100.00,,0,0.00
46,Иркутск,Гостиница Виктория,"улица Богдана Хмельницкого, д.1 Иркутск, Россия, Иркутск",30,,2,,2,2.00,2,6,,6.67,93.33,,93.33,4,,4.00
47,Листвянка,Отель Вера Байкал,"улица Горького, 8, Листвянка",38,,3,,3,3.00,3,7,,7.89,92.11,,92.11,6,,6.00
48,Иркутск,Отель Ибис Иркутск Центр,"улица Полины Осипенко, дом 5, Иркутск",128,,13,,13,13.00,13,10,,10.16,89.84,,89.84,26,,26.00
49,Хужир,Ольхон стори,"улица Народная, д.19, Хужир",6,,,,,,,,,,,,,,,
50,Иркутск,Квартира в центре Иркутска,"улица Российская, д. 14А, Иркутск",,,,,,,,,,,,,,,,
51,Иркутск,Отель Европа,"улица Байкальская, д.69, Иркутск",58,,,,,,,,,,,,,,,
52,Иркутск,Отель Иркутск Сити Центр,"ул. Чкалова, д. 15, Иркутск",206,,24,,24,24.00,24,11,,11.65,88.35,,88.35,48,,48.00
53,Иркутск,Гостиница Империя,"ул. Польских Повстанцев, 1Б, Иркутск",49,,1,,1,1.00,1,2,,2.04,97.96,,97.96,1,,1.00
54,Иркутск,Мини-Отель Good Hotel,"ул Сибирская, стр. 21/2, помещ. 1, Иркутск",6,,3,,3,3.00,3,50,,50.00,50.0,,50.00,6,,6.00
