merged_id,match_type,city,name,address,ostrovok_rooms_number,tvil_rooms_number,ostrovok_free_rooms,tvil_free_rooms,min_free_rooms,avg_free_rooms,max_free_rooms,ostrovok_free_rooms_pct,tvil_free_rooms_pct,avg_free_rooms_pct,ostrovok_occupancy_pct,tvil_occupancy_pct,avg_occupancy_pct,ostrovok_capacity,tvil_capacity,avg_capacity,ostrovok_min_price,tvil_min_price,min_price
1,matched,Иркутск,Гостиничный Комплекс Русь,"улица Свердлова, д.19, Иркутск",,56,,6,6,6.00,6,,10,10.71,,89.28999999999999,89.29,,14,14,,4100,4100
2,matched,Иркутск,Отель Доходный дом Листратовой,"Подгорная улица, д.16, Иркутск",15,15,2,2,2,2.00,2,13,13,13.33,86.67,86.67,86.67,2,2,2,4400,4000,4000
3,matched,Иркутск,Отель Яковлевъ,"улица Тимирязева, д.9, Иркутск",25,25,6,3,3,4.50,6,24,12,18.00,76.0,88.0,82.00,13,7,10,4248,4700,4248
4,matched,Иркутск,Отель Nuur Hotel,"улица Карла Либкнехта, д. 85, Иркутск",28,28,,0,0,0.00,0,,0,0.00,,100.0,100.00,,0,0,,,
5,matched,Иркутск,Отель Иркут,"улица Пролетарская, д.7, Иркутск",30,30,11,6,6,8.50,11,36,20,28.34,63.33,80.0,71.66,22,12,17,3500,3500,3500
6,matched,Иркутск,Ангара Отель,"улица Сухэ-Батора, д.7, Иркутск",300,300,5,4,4,4.50,5,1,1,1.50,98.33,98.67,98.50,10,8,9,8850,9100,8850
7,matched,Иркутск,Гостиница 7 дорог,"улица Ядринцева, д. 88, Иркутск",19,19,5,6,5,5.50,6,26,31,28.95,73.68,68.42,71.05,12,21,16,7370,7970,7370
8,matched,Иркутск,Отель Матрешка,"Улица Софьи Перовской, д.31/1, Иркутск",35,35,,6,6,6.00,6,,17,17.14,,82.86,82.86,,10,10,,5105,5105
9,matched,Иркутск,Отель Амурский,"улица Ленина, д.34, Иркутск",17,17,7,9,7,8.00,9,41,52,47.06,58.82,47.06,52.94,14,20,17,17900,17900,17900
10,matched,Иркутск,Отель Азия-Европа,"улица Ядринцева, 1/7, Иркутск",19,19,3,2,2,2.50,3,15,10,13.16,84.21000000000001,89.47,86.84,6,4,5,5193,5250,5193
11,matched,Иркутск,Отель Аристократ,"улица Ленина, д.9, Иркутск",12,12,,0,0,0.00,0,,0,0.00,,100.0,100.00,,0,0,,,
12,matched,Иркутск,Отель Михаил Строгов,"улица Депутатская, д. 36, Иркутск",20,21,,0,0,0.00,0,,0,0.00,,100.0,100.00,,0,0,,,
13,matched,Листвянка,Отель Маяк,"улица Горького, дом 85а, Листвянка",54,75,60,8,8,34.00,60,100,10,55.34,0.0,89.33,44.66,111,15,63,7000,8510,7000
14,matched,Иркутск,Отель Baikal Forest,"улица Советская, д.58/1, Иркутск",156,76,2,1,1,1.50,2,1,1,1.30,98.72,98.68,98.70,4,3,4,7716,9300,7716
15,matched,Иркутск,Отель Купеческий Дворъ,"улица Седова, д.10, Иркутск",14,14,,0,0,0.00,0,,0,0.00,,100.0,100.00,,0,0,,,
16,matched,Хужир,Baikal View Hotel,"улица Российская, д. 17, Хужир",99,99,4,2,2,3.00,4,4,2,3.03,95.96,97.98,96.97,8,6,7,16190,16190,16190
17,matched,Хужир,Отель Байкал-Хан Ольхон,"улица Ворошилова, д. 18, Хужир",40,37,4,4,4,4.00,4,10,10,10.41,90.0,89.19,89.59,8,8,8,16500,16500,16500
18,matched,Иркутск,Отель Armat,"улица Ширямова, д.33, Иркутск",40,40,12,5,5,8.50,12,30,12,21.25,70.0,87.5,78.75,24,10,17,6700,7400,6700
19,matched,Иркутск,Гостиница Атлас,"проезд Атласова, д.9, Иркутск",29,28,1,1,1,1.00,1,3,3,3.51,96.55,96.43,96.49,3,3,3,5796,5600,5600
20,matched,Иркутск,Отель на Звездинской,"Улица Звездинская, д. 5/1, Иркутск",25,30,35,5,5,20.00,35,100,16,58.34,0.0,83.33,41.66,75,9,42,3400,5000,3400
21,matched,Иркутск,Гостиница Лазурный берег,"Байкальская улица, д. 252Б, Иркутск",65,66,,0,0,0.00,0,,0,0.00,,100.0,100.00,,0,0,,,
22,matched,Хужир,Отель Байкальский лес (BaikalWood Hotel&SPA),"улица Светлая, д.5, Хужир",44,29,0,0,0,0.00,0,0,0,0.00,100.0,100.0,100.00,0,0,0,,,
23,matched,Иркутск,Гостиница Юбилейная,"микрорайон Юбилейный, д. 118, Иркутск",23,23,10,4,4,7.00,10,43,17,30.43,56.52,82.61,69.56,20,8,14,2777,3000,2777
24,matched,Иркутск,Отель Байкал - Северное Море,"Улица Дальневосточная, д.156, Иркутск",119,120,7,5,5,6.00,7,5,4,5.03,94.12,95.83,94.97,9,14,12,9085,9085,9085
25,matched,Листвянка,Отель Даурия,"улица Куликова, д.44, Листвянка",4,15,8,3,3,5.50,8,100,20,60.00,0.0,80.0,40.00,16,6,11,5500,5500,5500
26,matched,Ангарск,Отель Ангара-Приоритет,"Квартал Б, д.13, Ангарск",31,31,,0,0,0.00,0,,0,0.00,,100.0,100.00,,0,0,,,
27,matched,Хужир,Семейный отель Дача БайкалЭко,"улица Лесная, д. 32, Хужир",10,10,0,1,0,0.50,1,0,10,5.00,100.0,90.0,95.00,0,2,1,,27000,27000
28,matched,Нижнеудинск,Октябрьская,"улица Октябрьская, д.1 Б, Нижнеудинск",,5,7,3,3,5.00,7,100,60,80.00,0.0,40.0,20.00,12,5,8,1500,1500,1500
29,matched,Иркутск,Отель Тайга,"улица Сурикова, д.4в, Иркутск",44,44,,0,0,0.00,0,,0,0.00,,100.0,100.00,,0,0,,,
30,matched,Братск,Клубный Квартал,"бульвар Победы, д.30, Братск",67,48,7,5,5,6.00,7,10,10,10.43,89.55,89.58,89.56,7,10,8,3400,3400,3400
31,matched,Иркутск,Отель North Star,"улица Седова, 4, Иркутск",12,12,,0,0,0.00,0,,0,0.00,,100.0,100.00,,0,0,,,
32,matched,Иркутск,Отель Байкал Бизнес Центр,"улица Байкальская, д.279, Иркутск",59,59,,,,,,,,,,,,,,,,,
33,matched,Иркутск,Гостиница Альпари,"микрорайон Приморский, д.24 А, Иркутск",10,10,8,4,4,6.00,8,80,40,60.00,20.0,60.0,40.00,16,10,13,2373,2400,2373
34,matched,Черемхово,Shelest,"улица Марата, д. 109, Черемхово",,8,6,4,4,5.00,6,100,50,75.00,0.0,50.0,25.00,12,8,10,4960,5000,4960
35,matched,Иркутск,Гостиничный Комплекс Русь,"улица Свердлова,19, Иркутск",56,56,4,6,4,5.00,6,7,10,8.93,92.86,89.28999999999999,91.07,7,14,10,3859,4100,3859
36,matched,Иркутск,Отель гостиница Автовокзал,"улица Октябрьской Революции, 11, Иркутск",,22,,,,,,,,,,,,,,,,,
37,matched,Байкальск,Отель Космос,"Гагарина микрорайон, 2а, Байкальск",16,16,3,3,3,3.00,3,18,18,18.75,81.25,81.25,81.25,4,14,9,3675,3675,3675
38,matched,Байкальск,Парк-отель Соболинка,"квартал Красный Ключ, д.90, Байкальск",38,33,1,2,1,1.50,2,2,6,4.34,97.37,93.94,95.66,1,2,2,6973,7700,6973
39,matched,Бурдугуз,Парк-Отель Бурдугуз,"улица Лесная, д.1, Бурдугуз",69,69,14,10,10,12.00,14,20,14,17.39,79.71000000000001,85.51,82.61,28,30,29,19500,19500,19500
40,matched,Листвянка,Отель Подлеморье,"улица Горького, д.31Б, Листвянка",14,14,5,5,5,5.00,5,35,35,35.71,64.28999999999999,64.28999999999999,64.29,12,12,12,7500,7500,7500
