merged_id,match_type,city,name,address,ostrovok_rooms_number,tvil_rooms_number,ostrovok_free_rooms,tvil_free_rooms,min_free_rooms,avg_free_rooms,max_free_rooms,ostrovok_free_rooms_pct,tvil_free_rooms_pct,avg_free_rooms_pct,ostrovok_occupancy_pct,tvil_occupancy_pct,avg_occupancy_pct,ostrovok_capacity,tvil_capacity,avg_capacity,ostrovok_min_price,tvil_min_price,min_price
1,matched,Иркутск,Гостиничный Комплекс Русь,"улица Свердлова, д.19, Иркутск",,56,,7,7,7.00,7,,12,12.50,,87.5,87.50,,17,17,,4100,4100
2,matched,Иркутск,Отель Доходный дом Листратовой,"Подгорная улица, д.16, Иркутск",15,15,12,0,0,6.00,12,80,0,40.00,20.0,100.0,60.00,22,0,11,4440,,4440
3,matched,Иркутск,Отель Яковлевъ,"улица Тимирязева, д.9, Иркутск",25,25,,,,,,,,,,,,,,,,,
4,matched,Иркутск,Отель Nuur Hotel,"улица Карла Либкнехта, д. 85, Иркутск",28,28,2,1,1,1.50,2,7,3,5.35,92.86,96.43,94.65,4,2,3,5500,6500,5500
5,matched,Иркутск,Отель Иркут,"улица Пролетарская, д.7, Иркутск",30,30,18,8,8,13.00,18,60,26,43.34,40.0,73.33,56.66,33,14,24,3200,3200,3200
6,matched,Иркутск,Ангара Отель,"улица Сухэ-Батора, д.7, Иркутск",300,300,,13,13,13.00,13,,4,4.33,,95.67,95.67,,22,22,,4500,4500
7,matched,Иркутск,Гостиница 7 дорог,"улица Ядринцева, д. 88, Иркутск",19,19,9,9,9,9.00,9,47,47,47.37,52.63,52.63,52.63,20,34,27,4500,7200,4500
8,matched,Иркутск,Отель Матрешка,"Улица Софьи Перовской, д.31/1, Иркутск",35,35,41,10,10,25.50,41,100,28,64.28,0.0,71.43,35.72,73,20,46,3888,4410,3888
9,matched,Иркутск,Отель Амурский,"улица Ленина, д.34, Иркутск",17,17,12,0,0,6.00,12,70,0,35.30,29.409999999999997,100.0,64.70,24,0,12,14000,,14000
10,matched,Иркутск,Отель Азия-Европа,"улица Ядринцева, 1/7, Иркутск",19,19,12,9,9,10.50,12,63,47,55.27,36.84,52.63,44.73,24,18,21,3982,4000,3982
11,matched,Иркутск,Отель Аристократ,"улица Ленина, д.9, Иркутск",12,12,11,6,6,8.50,11,91,50,70.84,8.329999999999998,50.0,29.16,21,12,16,3900,4500,3900
12,matched,Иркутск,Отель Михаил Строгов,"улица Депутатская, д. 36, Иркутск",20,21,2,11,2,6.50,11,10,52,31.19,90.0,47.62,68.81,4,20,12,3859,4500,3859
13,matched,Листвянка,Отель Маяк,"улица Горького, дом 85а, Листвянка",54,75,50,9,9,29.50,50,92,12,52.30,7.409999999999997,88.0,47.70,94,17,56,6300,7770,6300
14,matched,Иркутск,Отель Baikal Forest,"улица Советская, д.58/1, Иркутск",156,76,46,4,4,25.00,46,29,5,17.38,70.51,94.74,82.62,92,12,52,4764,7100,4764
15,matched,Иркутск,Отель Купеческий Дворъ,"улица Седова, д.10, Иркутск",14,14,8,0,0,4.00,8,57,0,28.57,42.86,100.0,71.43,16,0,8,6670,,6670
16,matched,Хужир,Baikal View Hotel,"улица Российская, д. 17, Хужир",99,99,60,2,2,31.00,60,60,2,31.32,39.39,97.98,68.69,124,4,64,10719,10764,10719
17,matched,Хужир,Отель Байкал-Хан Ольхон,"улица Ворошилова, д. 18, Хужир",40,37,,,,,,,,,,,,,,,,,
18,matched,Иркутск,Отель Armat,"улица Ширямова, д.33, Иркутск",40,40,58,6,6,32.00,58,100,15,57.50,0.0,85.0,42.50,116,13,64,5200,6200,5200
19,matched,Иркутск,Гостиница Атлас,"проезд Атласова, д.9, Иркутск",29,28,,6,6,6.00,6,,21,21.43,,78.57,78.57,,16,16,,3300,3300
20,matched,Иркутск,Отель на Звездинской,"Улица Звездинская, д. 5/1, Иркутск",25,30,35,6,6,20.50,35,100,20,60.00,0.0,80.0,40.00,75,12,44,3385,5000,3385
21,matched,Иркутск,Гостиница Лазурный берег,"Байкальская улица, д. 252Б, Иркутск",65,66,6,5,5,5.50,6,9,7,8.41,90.77,92.42,91.59,12,10,11,3800,4500,3800
