merged_id,match_type,city,name,address,ostrovok_rooms_number,tvil_rooms_number,ostrovok_free_rooms,tvil_free_rooms,min_free_rooms,avg_free_rooms,max_free_rooms,ostrovok_free_rooms_pct,tvil_free_rooms_pct,avg_free_rooms_pct,ostrovok_occupancy_pct,tvil_occupancy_pct,avg_occupancy_pct,ostrovok_capacity,tvil_capacity,avg_capacity,ostrovok_min_price,tvil_min_price,min_price
1,matched,Иркутск,Гостиничный Комплекс Русь,"улица Свердлова, д.19, Иркутск",,56,,,,,,,,,,,,,,,,,
2,matched,Иркутск,Отель Доходный дом Листратовой,"Подгорная улица, д.16, Иркутск",15,15,,0,0,0.00,0,,0,0.00,,100.0,100.00,,0,0,,,
3,matched,Иркутск,Отель Яковлевъ,"улица Тимирязева, д.9, Иркутск",25,25,1,0,0,0.50,1,4,0,2.00,96.0,100.0,98.00,2,0,1,4614,,4614
4,matched,Иркутск,Отель Nuur Hotel,"улица Карла Либкнехта, д. 85, Иркутск",28,28,,0,0,0.00,0,,0,0.00,,100.0,100.00,,0,0,,,
5,matched,Иркутск,Отель Иркут,"улица Пролетарская, д.7, Иркутск",30,30,3,4,3,3.50,4,10,13,11.66,90.0,86.67,88.34,6,8,7,3900,4800,3900
6,matched,Иркутск,Ангара Отель,"улица Сухэ-Батора, д.7, Иркутск",300,300,1,1,1,1.00,1,0,0,0.33,99.67,99.67,99.67,2,2,2,9850,10100,9850
7,matched,Иркутск,Гостиница 7 дорог,"улица Ядринцева, д. 88, Иркутск",19,19,1,4,1,2.50,4,5,21,13.16,94.74,78.95,86.84,3,16,10,11930,9930,9930
8,matched,Иркутск,Отель Матрешка,"Улица Софьи Перовской, д.31/1, Иркутск",35,35,1,,1,1.00,1,2,,2.86,97.14,,97.14,1,,1,4788,,4788
9,matched,Иркутск,Отель Амурский,"улица Ленина, д.34, Иркутск",17,17,1,1,1,1.00,1,5,5,5.88,94.12,94.12,94.12,2,2,2,22000,22000,22000
10,matched,Иркутск,Отель Азия-Европа,"улица Ядринцева, 1/7, Иркутск",19,19,3,0,0,1.50,3,15,0,7.89,84.21000000000001,100.0,92.11,6,0,3,7224,,7224
11,matched,Иркутск,Отель Аристократ,"улица Ленина, д.9, Иркутск",12,12,,0,0,0.00,0,,0,0.00,,100.0,100.00,,0,0,,,
12,matched,Иркутск,Отель Михаил Строгов,"улица Депутатская, д. 36, Иркутск",20,21,6,3,3,4.50,6,30,14,22.14,70.0,85.71000000000001,77.86,12,6,9,6100,6500,6100
13,matched,Листвянка,Отель Маяк,"улица Горького, дом 85а, Листвянка",54,75,37,7,7,22.00,37,68,9,38.92,31.480000000000004,90.67,61.08,69,13,41,9200,10810,9200
14,matched,Иркутск,Отель Baikal Forest,"улица Советская, д.58/1, Иркутск",156,76,,0,0,0.00,0,,0,0.00,,100.0,100.00,,0,0,,,
15,matched,Иркутск,Отель Купеческий Дворъ,"улица Седова, д.10, Иркутск",14,14,2,2,2,2.00,2,14,14,14.29,85.71000000000001,85.71000000000001,85.71,4,6,5,8800,8900,8800
16,matched,Хужир,Baikal View Hotel,"улица Российская, д. 17, Хужир",99,99,12,0,0,6.00,12,12,0,6.06,87.88,100.0,93.94,24,0,12,20136,,20136
17,matched,Хужир,Отель Байкал-Хан Ольхон,"улица Ворошилова, д. 18, Хужир",40,37,5,6,5,5.50,6,12,16,14.36,87.5,83.78,85.64,10,12,11,17330,17330,17330
18,matched,Иркутск,Отель Armat,"улица Ширямова, д.33, Иркутск",40,40,,0,0,0.00,0,,0,0.00,,100.0,100.00,,0,0,,,
19,matched,Иркутск,Гостиница Атлас,"проезд Атласова, д.9, Иркутск",29,28,3,1,1,2.00,3,10,3,6.96,89.66,96.43,93.05,5,3,4,6831,6600,6600
20,matched,Иркутск,Отель на Звездинской,"Улица Звездинская, д. 5/1, Иркутск",25,30,16,7,7,11.50,16,64,23,43.66,36.0,76.67,56.34,37,13,25,3800,5000,3800
21,matched,Иркутск,Гостиница Лазурный берег,"Байкальская улица, д. 252Б, Иркутск",65,66,2,1,1,1.50,2,3,1,2.30,96.92,98.48,97.70,4,2,3,5000,5500,5000
22,matched,Хужир,Отель Байкальский лес (BaikalWood Hotel&SPA),"улица Светлая, д.5, Хужир",44,29,0,1,0,0.50,1,0,3,1.73,100.0,96.55,98.28,0,2,1,,21000,21000
23,matched,Иркутск,Гостиница Юбилейная,"микрорайон Юбилейный, д. 118, Иркутск",23,23,,,,,,,,,,,,,,,,,
24,matched,Иркутск,Отель Байкал - Северное Море,"Улица Дальневосточная, д.156, Иркутск",119,120,13,6,6,9.50,13,10,5,7.96,89.08,95.0,92.04,20,13,16,9085,9085,9085
25,matched,Листвянка,Отель Даурия,"улица Куликова, д.44, Листвянка",4,15,,,,,,,,,,,,,,,,,
26,matched,Ангарск,Отель Ангара-Приоритет,"Квартал Б, д.13, Ангарск",31,31,4,5,4,4.50,5,12,16,14.52,87.1,83.87,85.48,8,12,10,5500,5500,5500
27,matched,Хужир,Семейный отель Дача БайкалЭко,"улица Лесная, д. 32, Хужир",10,10,2,1,1,1.50,2,20,10,15.00,80.0,90.0,85.00,2,2,2,21527,27000,21527
28,matched,Нижнеудинск,Октябрьская,"улица Октябрьская, д.1 Б, Нижнеудинск",,5,6,6,6,6.00,6,100,100,100.00,0.0,0.0,0.00,10,10,10,1500,1500,1500
29,matched,Иркутск,Отель Тайга,"улица Сурикова, д.4в, Иркутск",44,44,,0,0,0.00,0,,0,0.00,,100.0,100.00,,0,0,,,
30,matched,Братск,Клубный Квартал,"бульвар Победы, д.30, Братск",67,48,19,10,10,14.50,19,28,20,24.59,71.64,79.17,75.41,19,20,20,3400,3400,3400
31,matched,Иркутск,Отель North Star,"улица Седова, 4, Иркутск",12,12,,0,0,0.00,0,,0,0.00,,100.0,100.00,,0,0,,,
32,matched,Иркутск,Отель Байкал Бизнес Центр,"улица Байкальская, д.279, Иркутск",59,59,,,,,,,,,,,,,,,,,
33,matched,Иркутск,Гостиница Альпари,"микрорайон Приморский, д.24 А, Иркутск",10,10,8,6,6,7.00,8,80,60,70.00,20.0,40.0,30.00,16,16,16,2373,2400,2373
34,matched,Черемхово,Shelest,"улица Марата, д. 109, Черемхово",,8,7,4,4,5.50,7,100,50,75.00,0.0,50.0,25.00,14,8,11,4960,5000,4960
35,matched,Иркутск,Гостиничный Комплекс Русь,"улица Свердлова,19, Иркутск",56,56,3,,3,3.00,3,5,,5.36,94.64,,94.64,6,,6,4393,,4393
36,matched,Иркутск,Отель гостиница Автовокзал,"улица Октябрьской Революции, 11, Иркутск",,22,,,,,,,,,,,,,,,,,
37,matched,Байкальск,Отель Космос,"Гагарина микрорайон, 2а, Байкальск",16,16,5,4,4,4.50,5,31,25,28.12,68.75,75.0,71.88,8,16,12,3675,3675,3675
38,matched,Байкальск,Парк-отель Соболинка,"квартал Красный Ключ, д.90, Байкальск",38,33,,0,0,0.00,0,,0,0.00,,100.0,100.00,,0,0,,,
39,matched,Бурдугуз,Парк-Отель Бурдугуз,"улица Лесная, д.1, Бурдугуз",69,69,8,10,8,9.00,10,11,14,13.04,88.41,85.51,86.96,16,30,23,23300,23300,23300
40,matched,Листвянка,Отель Подлеморье,"улица Горького, д.31Б, Листвянка",14,14,4,4,4,4.00,4,28,28,28.57,71.43,71.43,71.43,8,8,8,6800,6800,6800
41,matched,Иркутск,Отель Лотос,"Байкальская улица, д.14 Б, Иркутск",23,21,5,0,0,2.50,5,21,0,10.87,78.26,100.0,89.13,10,0,5,3150,,3150
42,matched,Иркутск,Отель Звезда,"улица Ядринцева, д. 1Ж, Иркутск",65,64,2,2,2,2.00,2,3,3,3.10,96.92,96.88,96.90,4,6,5,16500,16500,16500
43,matched,Братск,Отель Белый берег,"ул. Курчатова 65, Братск, Братск",5,5,4,0,0,2.00,4,80,0,40.00,20.0,100.0,60.00,9,0,4,6300,,6300
44,matched,Байкальск,Отель Гранд Байкал,"мкр. Красный Ключ, 91, Байкальск",64,64,,,,,,,,,,,,,,,,,
45,matched,Иркутск,Гостиница У Истока,"Ржанова ул., д. 43, Иркутск",24,24,0,2,0,1.00,2,0,8,4.17,100.0,91.67,95.84,0,4,2,,3400,3400
46,matched,Сарма,Парк-Отель Алтан,"тер. база отдыха Алтан, стр. 1, Сарма",21,21,0,6,0,3.00,6,0,28,14.29,100.0,71.43,85.72,0,20,10,,18750,18750
47,unmatched_ostrovok,Иркутск,Гостиница Виктория,"улица Богдана Хмельницкого, д.1 Иркутск, Россия, Иркутск",30,,,,,,,,,,,,,,,,,,
48,unmatched_ostrovok,Листвянка,Отель Вера Байкал,"улица Горького, 8, Листвянка",38,,12,,12,12.00,12,31,,31.58,68.42,,68.42,24,,24,8265,,8265
49,unmatched_ostrovok,Иркутск,Отель Ибис Иркутск Центр,"улица Полины Осипенко, дом 5, Иркутск",128,,,,,,,,,,,,,,,,,,
50,unmatched_ostrovok,Хужир,Ольхон стори,"улица Народная, д.19, Хужир",6,,,,,,,,,,,,,,,,,,
51,unmatched_ostrovok,Иркутск,Квартира в центре Иркутска,"улица Российская, д. 14А, Иркутск",,,,,,,,,,,,,,,,,,,
52,unmatched_ostrovok,Иркутск,Отель Европа,"улица Байкальская, д.69, Иркутск",58,,,,,,,,,,,,,,,,,,
53,unmatched_ostrovok,Иркутск,Отель Иркутск Сити Центр,"ул. Чкалова, д. 15, Иркутск",206,,,,,,,,,,,,,,,,,,
54,unmatched_ostrovok,Иркутск,Гостиница Империя,"ул. Польских Повстанцев, 1Б, Иркутск",49,,11,,11,11.00,11,22,,22.45,77.55,,77.55,22,,22,6700,,6700
55,unmatched_ostrovok,Иркутск,Мини-Отель Good Hotel,"ул Сибирская, стр. 21/2, помещ. 1, Иркутск",6,,1,,1,1.00,1,16,,16.67,83.33,,83.33,2,,2,2700,,2700
56,unmatched_ostrovok,Хужир,Sunrise,"Первомайская улица, 25А, Хужир",,,2,,2,2.00,2,100,,100.00,0.0,,0.00,6,,6,13358,,13358
57,unmatched_ostrovok,Иркутск,AZIMUT Отель Аэропорт Иркутск 4*,"ул. Ширямова, 10А, Иркутск",100,,13,,13,13.00,13,13,,13.00,87.0,,87.00,30,,30,9350,,9350
58,unmatched_ostrovok,Листвянка,Отель Байкал,"Академическая улица, 13, Листвянка",72,,7,,7,7.00,7,9,,9.72,90.28,,90.28,14,,14,16000,,16000
59,unmatched_ostrovok,Иркутск,Премиум-отель Пушкин,"ул. Сухэ-Батора, 18, Иркутск",46,,3,,3,3.00,3,6,,6.52,93.48,,93.48,6,,6,21000,,21000
60,unmatched_ostrovok,Иркутск,Отель Business Hall,"улица Свердлова, д.10, Иркутск",18,,5,,5,5.00,5,27,,27.78,72.22,,72.22,8,,8,3790,,3790
61,unmatched_ostrovok,Листвянка,Байкалия,"Горная улица, 15, Листвянка",,,1,,1,1.00,1,100,,100.00,0.0,,0.00,3,,3,7916,,7916
62,unmatched_ostrovok,Никола,Отель Никола,"Иркутская область, Листвянка, Байкальский тракт 64-й км, поселок Никола, улица Ангарская, д. 15, Никола",27,,14,,14,14.00,14,51,,51.85,48.15,,48.15,30,,30,8704,,8704
63,unmatched_ostrovok,Иркутск,SAYEN,"ул. Карла Маркса, 13Б, Иркутск",25,,1,,1,1.00,1,4,,4.00,96.0,,96.00,2,,2,22200,,22200
64,unmatched_ostrovok,Иркутск,Отель Гостевой Дом Хейвица,"улица Дзержинского, д. 44, Иркутск",8,,,,,,,,,,,,,,,,,,
65,unmatched_ostrovok,Иркутск,Меблированные комнаты в Иркутске,"переулок Алексеева, д.2А, Иркутск",,,,,,,,,,,,,,,,,,,
66,unmatched_ostrovok,Иркутск,Отель ДиаДэй,"улица Профсоюзная, д. 10/2, Иркутск",9,,,,,,,,,,,,,,,,,,
