merged_id,match_type,city,name,address,ostrovok_rooms_number,tvil_rooms_number,ostrovok_free_rooms,tvil_free_rooms,min_free_rooms,avg_free_rooms,max_free_rooms,ostrovok_free_rooms_pct,tvil_free_rooms_pct,avg_free_rooms_pct,ostrovok_occupancy_pct,tvil_occupancy_pct,avg_occupancy_pct,ostrovok_capacity,tvil_capacity,avg_capacity,ostrovok_min_price,tvil_min_price,min_price
1,matched,Иркутск,Гостиничный Комплекс Русь,"улица Свердлова, д.19, Иркутск",,56,,3,3,3.00,3,,5,5.36,,94.64,94.64,,8,8,,4500,4500
2,matched,Иркутск,Отель Доходный дом Листратовой,"Подгорная улица, д.16, Иркутск",15,15,,0,0,0.00,0,,0,0.00,,100.0,100.00,,0,0,,,
3,matched,Иркутск,Отель Яковлевъ,"улица Тимирязева, д.9, Иркутск",25,25,4,8,4,6.00,8,16,32,24.00,84.0,68.0,76.00,11,20,16,4614,4700,4614
4,matched,Иркутск,Отель Nuur Hotel,"улица Карла Либкнехта, д. 85, Иркутск",28,28,,0,0,0.00,0,,0,0.00,,100.0,100.00,,0,0,,,
5,matched,Иркутск,Отель Иркут,"улица Пролетарская, д.7, Иркутск",30,30,7,14,7,10.50,14,23,46,35.00,76.67,53.33,65.00,13,26,20,3350,3350,3350
6,matched,Иркутск,Ангара Отель,"улица Сухэ-Батора, д.7, Иркутск",300,300,9,6,6,7.50,9,3,2,2.50,97.0,98.0,97.50,18,12,15,6650,6900,6650
7,matched,Иркутск,Гостиница 7 дорог,"улица Ядринцева, д. 88, Иркутск",19,19,,0,0,0.00,0,,0,0.00,,100.0,100.00,,0,0,,,
8,matched,Иркутск,Отель Матрешка,"Улица Софьи Перовской, д.31/1, Иркутск",35,35,8,3,3,5.50,8,22,8,15.71,77.14,91.43,84.28,16,6,11,4716,5166,4716
9,matched,Иркутск,Отель Амурский,"улица Ленина, д.34, Иркутск",17,17,2,1,1,1.50,2,11,5,8.82,88.24,94.12,91.18,6,4,5,17900,36600,17900
10,matched,Иркутск,Отель Азия-Европа,"улица Ядринцева, 1/7, Иркутск",19,19,9,8,8,8.50,9,47,42,44.74,52.63,57.89,55.26,18,16,17,3956,4000,3956
11,matched,Иркутск,Отель Аристократ,"улица Ленина, д.9, Иркутск",12,12,,0,0,0.00,0,,0,0.00,,100.0,100.00,,0,0,,,
12,matched,Иркутск,Отель Михаил Строгов,"улица Депутатская, д. 36, Иркутск",20,21,,0,0,0.00,0,,0,0.00,,100.0,100.00,,0,0,,,
13,matched,Листвянка,Отель Маяк,"улица Горького, дом 85а, Листвянка",54,75,27,6,6,16.50,27,50,8,29.00,50.0,92.0,71.00,51,13,32,9200,11270,9200
14,matched,Иркутск,Отель Baikal Forest,"улица Советская, д.58/1, Иркутск",156,76,47,8,8,27.50,47,30,10,20.33,69.87,89.47,79.67,101,22,62,8275,9300,8275
15,matched,Иркутск,Отель Купеческий Дворъ,"улица Седова, д.10, Иркутск",14,14,1,1,1,1.00,1,7,7,7.14,92.86,92.86,92.86,2,3,2,11372,11500,11372
16,matched,Хужир,Baikal View Hotel,"улица Российская, д. 17, Хужир",99,99,14,0,0,7.00,14,14,0,7.07,85.86,100.0,92.93,28,0,14,18810,,18810
17,matched,Хужир,Отель Байкал-Хан Ольхон,"улица Ворошилова, д. 18, Хужир",40,37,,,,,,,,,,,,,,,,,
18,matched,Иркутск,Отель Armat,"улица Ширямова, д.33, Иркутск",40,40,,0,0,0.00,0,,0,0.00,,100.0,100.00,,0,0,,,
19,matched,Иркутск,Гостиница Атлас,"проезд Атласова, д.9, Иркутск",29,28,2,2,2,2.00,2,6,7,7.02,93.1,92.86,92.98,5,5,5,5796,5600,5600
20,matched,Иркутск,Отель на Звездинской,"Улица Звездинская, д. 5/1, Иркутск",25,30,18,7,7,12.50,18,72,23,47.66,28.0,76.67,52.34,41,13,27,3800,5000,3800
21,matched,Иркутск,Гостиница Лазурный берег,"Байкальская улица, д. 252Б, Иркутск",65,66,,0,0,0.00,0,,0,0.00,,100.0,100.00,,0,0,,,
22,matched,Хужир,Отель Байкальский лес (BaikalWood Hotel&SPA),"улица Светлая, д.5, Хужир",44,29,,0,0,0.00,0,,0,0.00,,100.0,100.00,,0,0,,,
23,matched,Иркутск,Гостиница Юбилейная,"микрорайон Юбилейный, д. 118, Иркутск",23,23,,,,,,,,,,,,,,,,,
24,matched,Иркутск,Отель Байкал - Северное Море,"Улица Дальневосточная, д.156, Иркутск",119,120,17,10,10,13.50,17,14,8,11.31,85.71000000000001,91.67,88.69,25,26,26,8629,9660,8629
25,matched,Листвянка,Отель Даурия,"улица Куликова, д.44, Листвянка",4,15,,,,,,,,,,,,,,,,,
26,matched,Ангарск,Отель Ангара-Приоритет,"Квартал Б, д.13, Ангарск",31,31,,0,0,0.00,0,,0,0.00,,100.0,100.00,,0,0,,,
