merged_id,match_type,city,name,address,ostrovok_rooms_number,tvil_rooms_number,ostrovok_free_rooms,tvil_free_rooms,min_free_rooms,avg_free_rooms,max_free_rooms,ostrovok_free_rooms_pct,tvil_free_rooms_pct,avg_free_rooms_pct,ostrovok_occupancy_pct,tvil_occupancy_pct,avg_occupancy_pct,ostrovok_capacity,tvil_capacity,avg_capacity,ostrovok_min_price,tvil_min_price,min_price
1,matched,Иркутск,Гостиничный Комплекс Русь,"улица Свердлова, д.19, Иркутск",,56,,9,9,9.00,9,,16,16.07,,83.93,83.93,,21,21,,4100,4100
2,matched,Иркутск,Отель Доходный дом Листратовой,"Подгорная улица, д.16, Иркутск",15,15,11,8,8,9.50,11,73,53,63.33,26.67,46.67,36.67,17,15,16,3219,3219,3219
3,matched,Иркутск,Отель Яковлевъ,"улица Тимирязева, д.9, Иркутск",25,25,8,4,4,6.00,8,32,16,24.00,68.0,84.0,76.00,18,9,14,3762,4000,3762
4,matched,Иркутск,Отель Nuur Hotel,"улица Карла Либкнехта, д. 85, Иркутск",28,28,15,7,7,11.00,15,53,25,39.28,46.43,75.0,60.72,29,17,23,6000,7300,6000
5,matched,Иркутск,Отель Иркут,"улица Пролетарская, д.7, Иркутск",30,30,15,10,10,12.50,15,50,33,41.66,50.0,66.67,58.34,27,17,22,3000,3000,3000
6,matched,Иркутск,Ангара Отель,"улица Сухэ-Батора, д.7, Иркутск",300,300,41,10,10,25.50,41,13,3,8.50,86.33,96.67,91.50,61,16,38,4250,4500,4250
7,matched,Иркутск,Гостиница 7 дорог,"улица Ядринцева, д. 88, Иркутск",19,19,9,6,6,7.50,9,47,31,39.47,52.63,68.42,60.53,18,21,20,5000,7200,5000
8,matched,Иркутск,Отель Матрешка,"Улица Софьи Перовской, д.31/1, Иркутск",35,35,26,8,8,17.00,26,74,22,48.58,25.709999999999994,77.14,51.42,48,16,32,4111,4662,4111
9,matched,Иркутск,Отель Амурский,"улица Ленина, д.34, Иркутск",17,17,12,8,8,10.00,12,70,47,58.83,29.409999999999997,52.94,41.17,24,16,20,14000,14000,14000
10,matched,Иркутск,Отель Азия-Европа,"улица Ядринцева, 1/7, Иркутск",19,19,9,9,9,9.00,9,47,47,47.37,52.63,52.63,52.63,18,18,18,4097,4000,4000
11,matched,Иркутск,Отель Аристократ,"улица Ленина, д.9, Иркутск",12,12,7,5,5,6.00,7,58,41,50.00,41.67,58.33,50.00,13,10,12,3900,4500,3900
12,matched,Иркутск,Отель Михаил Строгов,"улица Депутатская, д. 36, Иркутск",20,21,2,6,2,4.00,6,10,28,19.29,90.0,71.43,80.72,4,10,7,3870,4500,3870
13,matched,Листвянка,Отель Маяк,"улица Горького, дом 85а, Листвянка",54,75,2,3,2,2.50,3,3,4,3.85,96.3,96.0,96.15,3,6,4,7770,7770,7770
14,matched,Иркутск,Отель Форест,"улица Советская, д.58/1, Иркутск",156,76,68,4,4,36.00,68,43,5,24.43,56.41,94.74,75.57,136,12,74,5061,5800,5061
15,matched,Иркутск,Отель Купеческий Дворъ,"улица Седова, д.10, Иркутск",14,14,9,9,9,9.00,9,64,64,64.29,35.709999999999994,35.709999999999994,35.71,18,25,22,6700,6700,6700
16,matched,Хужир,Baikal View Hotel,"улица Российская, д. 17, Хужир",99,99,101,4,4,52.50,101,100,4,52.02,0.0,95.96,47.98,204,10,107,9493,9594,9493
