merged_id,city,name,address,ostrovok_rooms_number,tvil_rooms_number,ostrovok_free_rooms,tvil_free_rooms,min_free_rooms,avg_free_rooms,max_free_rooms,ostrovok_free_rooms_pct,tvil_free_rooms_pct,avg_free_rooms_pct,ostrovok_occupancy_pct,tvil_occupancy_pct,avg_occupancy_pct,ostrovok_capacity,tvil_capacity,avg_capacity
1,Иркутск,Гостиничный Комплекс Русь,"улица Свердлова, д.19, Иркутск",56,56,12,4,4,8.00,12,21,7,14.29,78.57,92.86,85.72,24,10,17.00
2,Иркутск,Отель Доходный дом Листратовой,"Подгорная улица, д.16, Иркутск",15,15,4,0,0,2.00,4,26,0,13.34,73.33,100.0,86.66,4,0,2.00
3,Иркутск,Отель Яковлевъ,"улица Тимирязева, д.9, Иркутск",25,25,2,2,2,2.00,2,8,8,8.00,92.0,92.0,92.00,5,4,4.50
4,Иркутск,Отель Nuur Hotel,"улица Карла Либкнехта, д. 85, Иркутск",28,28,2,1,1,1.50,2,7,3,5.35,92.86,96.43,94.65,4,2,3.00
5,Иркутск,Отель Иркут,"улица Пролетарская, д.7, Иркутск",30,30,3,3,3,3.00,3,10,10,10.00,90.0,90.0,90.00,5,5,5.00
6,Иркутск,Ангара Отель,"улица Сухэ-Батора, д.7, Иркутск",300,300,15,6,6,10.50,15,5,2,3.50,95.0,98.0,96.50,20,9,14.50
7,Иркутск,Гостиница 7 дорог,"улица Ядринцева, д. 88, Иркутск",19,19,11,7,7,9.00,11,57,36,47.37,42.11,63.16,52.63,21,22,21.50
8,Иркутск,Отель Матрешка,"Улица Софьи Перовской, д.31/1, Иркутск",35,35,17,7,7,12.00,17,48,20,34.28,51.43,80.0,65.72,32,15,23.50
9,Иркутск,Отель Амурский,"улица Ленина, д.34, Иркутск",17,17,13,10,10,11.50,13,76,58,67.64,23.53,41.18,32.36,28,22,25.00
10,Иркутск,Отель Азия-Европа,"улица Ядринцева, 1/7, Иркутск",19,19,8,7,7,7.50,8,42,36,39.48,57.89,63.16,60.52,16,14,15.00
11,Иркутск,Отель Аристократ,"улица Ленина, д.9, Иркутск",12,12,10,4,4,7.00,10,83,33,58.33,16.67,66.67,41.67,14,8,11.00
